!EXCLAMATION-POINT	ˌɛ k s k l ə ˈm e ɪ ʃ ə n ˌp ɔ ɪ n t
(PARENTHESES	p ɝ ˈɛ n θ ə ˌs iː z
)CLOSE-PAREN	ˈk l o ʊ z p ɝ ˈɛ n
)CLOSE-PARENTHESES	ˈk l o ʊ z p ɝ ˈɛ n θ ə ˌs iː z
)END-PAREN	ˈɛ n d p ɝ ˈɛ n
)END-PARENS	ˈɛ n d p ɝ ˈɛ n z
)END-PARENTHESES	ˈɛ n d p ɝ ˈɛ n θ ə ˌs iː z
)END-THE-PAREN	ˈɛ n d ð ə p ɝ ˈɛ n
)PAREN	p ɝ ˈɛ n
)PARENS	p ɝ ˈɛ n z
)RIGHT-PAREN	ˈr a ɪ t ˌp ɛ r ə n
)UN-PARENTHESES	ˈʌ n p ɝ ˈɛ n θ ə ˈs iː z
+PLUS	ˈp l ʊ s
,COMMA	ˈk ɑː m ə
--DASH	ˈd æ ʃ
-DASH	ˈd æ ʃ
-HYPHEN	ˈh a ɪ f ə n
...ELLIPSIS	ˌɪ ˈl ɪ p s ɪ s
.DECIMAL	ˈd ɛ s ə m ə l
.DOT	ˈd ɑː t
.FULL-STOP	ˈf ʊ l ˈs t ɑː p
.PERIOD	ˈp ɪ r iː ə d
.POINT	ˈp ɔ ɪ n t
/SLASH	ˈs l æ ʃ
3-D	ˈθ r iː ˌd iː
3D	ˈθ r iː ˌd iː
:COLON	ˈk o ʊ l ə n
;SEMI-COLON	ˈs ɛ m iː ˈk o ʊ l ə n
;SEMI-COLON	ˈs ɛ m ɪ ˌk o ʊ l ə n
?QUESTION-MARK	ˈk w ɛ s t ʃ ə n ˈm ɑː r k
A	ə
A	ˈe ɪ
A'S	ˈe ɪ z
A.	ˈe ɪ
A.'S	ˈe ɪ z
A.S	ˈe ɪ z
A42128	ˈe ɪ ˈf ɔ r ˈt uː ˈw ʌ n ˈt uː ˈe ɪ t
AA	ˌe ɪ ˈe ɪ
AAA	ˌt r ɪ p ə ˈl e ɪ
AABERG	ˈɑː b ɝ g
AACHEN	ˈɑː k ə n
AACHENER	ˈɑː k ə n ɝ
AAH	ˈɑː
AAKER	ˈɑː k ɝ
AALIYAH	ˌɑː ˈl iː ˌɑː
AALSETH	ˈɑː l s ɛ θ
AAMODT	ˈɑː m ə t
AANCOR	ˈɑː n ˌk ɔ r
AARDEMA	ɑː r ˈd ɛ m ə
AARDVARK	ˈɑː r d ˌv ɑː r k
AARDVARKS	ˈɑː r d ˌv ɑː r k s
AARGH	ˈɑː r g
AARON	ˈɛ r ə n
AARON'S	ˈɛ r ə n z
AARONS	ˈɛ r ə n z
AARONSON	ˈɛ r ə n s ə n
AARONSON	ˈɑː r ə n s ə n
AARONSON'S	ˈɛ r ə n s ə n z
AARONSON'S	ˈɑː r ə n s ə n z
AARTI	ˈɑː r ˌt iː
AASE	ˈɑː s
AASEN	ˈɑː s ə n
AB	ˈæ b
ABA	ˌe ɪ ˌb iː ˈe ɪ
ABABA	ə ˈb ɑː b ə
ABABA	ˈɑː b ə b ə
ABACHA	ˈæ b ə k ə
ABACK	ə ˈb æ k
ABACO	ˈæ b ə ˌk o ʊ
ABACUS	ˈæ b ə k ə s
ABAD	ə ˈb ɑː d
ABADAKA	ə ˈb æ d ə k ə
ABADI	ə ˈb æ d i
ABADIE	ə ˈb æ d i
ABAIR	ə ˈb ɛ r
ABALKIN	ə ˈb ɑː l k ɪ n
ABALONE	ˌæ b ə ˈl o ʊ n i
ABALONES	ˌæ b ə ˈl o ʊ n iː z
ABALOS	ɑː ˈb ɑː l o ʊ z
ABANDON	ə ˈb æ n d ə n
ABANDONED	ə ˈb æ n d ə n d
ABANDONING	ə ˈb æ n d ə n ɪ ŋ
ABANDONMENT	ə ˈb æ n d ə n m ə n t
ABANDONMENTS	ə ˈb æ n d ə n m ə n t s
ABANDONS	ə ˈb æ n d ə n z
ABANTO	ə ˈb æ n t o ʊ
ABARCA	ə ˈb ɑː r k ə
ABARE	ɑː ˈb ɑː r i
ABASCAL	ˈæ b ə s k ə l
ABASH	ə ˈb æ ʃ
ABASHED	ə ˈb æ ʃ t
ABASIA	ə ˈb e ɪ ʒ j ə
ABATE	ə ˈb e ɪ t
ABATED	ə ˈb e ɪ t ɪ d
ABATEMENT	ə ˈb e ɪ t m ə n t
ABATEMENTS	ə ˈb e ɪ t m ə n t s
ABATES	ə ˈb e ɪ t s
ABATING	ə ˈb e ɪ t ɪ ŋ
ABBA	ˈæ b ə
ABBADO	ə ˈb ɑː d o ʊ
ABBAS	ə ˈb ɑː s
ABBASI	ɑː ˈb ɑː s i
ABBATE	ˈɑː b e ɪ t
ABBATIELLO	ɑː b ɑː t iː ˈɛ l o ʊ
ABBE	ˈæ b i
ABBE	æ ˈb e ɪ
ABBENHAUS	ˈæ b ə n ˌh a ʊ s
ABBETT	ə ˈb ɛ t
ABBEVILLE	ˈæ b v ɪ l
ABBEY	ˈæ b i
ABBEY'S	ˈæ b iː z
ABBIE	ˈæ b i
ABBITT	ˈæ b ɪ t
ABBOT	ˈæ b ə t
ABBOTSTOWN	ˈæ b ə t ˈs t a ʊ n
ABBOTT	ˈæ b ə t
ABBOTT'S	ˈæ b ə t s
ABBOTTSTOWN	ˈæ b ə t ˈs t a ʊ n
ABBOUD	ə ˈb uː d
ABBOUD	ə ˈb a ʊ d
ABBREVIATE	ə ˈb r iː v iː ˌe ɪ t
ABBREVIATED	ə ˈb r iː v iː ˌe ɪ t ɪ d
ABBREVIATES	ə ˈb r iː v iː ˌe ɪ t s
ABBREVIATING	ə ˈb r iː v iː ˌe ɪ t ɪ ŋ
ABBREVIATION	ə ˌb r iː v iː ˈe ɪ ʃ ə n
ABBREVIATIONS	ə ˌb r iː v iː ˈe ɪ ʃ ə n z
ABBRUZZESE	ɑː b r uː t ˈs e ɪ z i
ABBS	ˈæ b z
ABBY	ˈæ b i
ABC	ˈe ɪ ˌb iː ˌs iː
ABC'S	ˈe ɪ ˌb iː ˌs iː z
ABCO	ˈæ b k o ʊ
ABCOTEK	ˈæ b k o ʊ ˌt ɛ k
ABCS	ˈe ɪ ˌb iː ˌs iː z
ABDALLA	ˌæ b ˈd æ l ə
ABDALLAH	ˌæ b ˈd æ l ə
ABDEL	ˈæ b ˌd ɛ l
ABDELLA	ˌæ b ˈd ɛ l ə
ABDICATE	ˈæ b d ə ˌk e ɪ t
ABDICATED	ˈæ b d ə ˌk e ɪ t ə d
ABDICATES	ˈæ b d ə ˌk e ɪ t s
ABDICATING	ˈæ b d ɪ ˌk e ɪ t ɪ ŋ
ABDICATION	ˌæ b d ɪ ˈk e ɪ ʃ ə n
ABDNOR	ˈæ b d n ɝ
ABDO	ˈæ b d o ʊ
ABDOLLAH	ˌæ b ˈd ɑː l ə
ABDOMEN	æ b ˈd o ʊ m ə n
ABDOMEN	ˈæ b d ə m ə n
ABDOMINAL	æ b ˈd ɑː m ə n ə l
ABDOMINAL	ə b ˈd ɑː m ə n ə l
ABDUCT	æ b ˈd ʌ k t
ABDUCTED	æ b ˈd ʌ k t ɪ d
ABDUCTED	ə b ˈd ʌ k t ɪ d
ABDUCTEE	æ b ˌd ə k ˈt iː
ABDUCTEES	æ b ˌd ə k ˈt iː z
ABDUCTING	æ b ˈd ʌ k t ɪ ŋ
ABDUCTING	ə b ˈd ʌ k t ɪ ŋ
ABDUCTION	æ b ˈd ʌ k ʃ ə n
ABDUCTION	ə b ˈd ʌ k ʃ ə n
ABDUCTIONS	æ b ˈd ʌ k ʃ ə n z
ABDUCTIONS	ə b ˈd ʌ k ʃ ə n z
ABDUCTOR	æ b ˈd ʌ k t ɝ
ABDUCTOR	ə b ˈd ʌ k t ɝ
ABDUCTORS	æ b ˈd ʌ k t ɝ z
ABDUCTORS	ə b ˈd ʌ k t ɝ z
ABDUCTS	æ b ˈd ʌ k t s
ABDUL	æ b ˈd uː l
ABDULAZIZ	æ b ˌd uː l ə ˈz iː z
ABDULLA	ɑː b ˈd uː l ə
ABDULLAH	ˌæ b ˈd ʌ l ə
ABE	ˈe ɪ b
ABED	ə ˈb ɛ d
ABEDI	ə ˈb ɛ d i
ABEE	ə ˈb iː
ABEL	ˈe ɪ b ə l
ABELA	ɑː ˈb ɛ l ə
ABELARD	ˈæ b ɪ l ɝ d
ABELE	ə ˈb ɛ l
ABELES	ə ˈb ɛ l z
ABELES	ˈe ɪ b ə ˌl iː z
ABELL	ˈe ɪ b ə l
ABELLA	ə ˈb ɛ l ə
ABELN	ˈæ b ɪ l n
ABELOW	ˈæ b ə l o ʊ
ABELS	ˈe ɪ b ə l z
ABELSON	ˈæ b ɪ l s ə n
ABEND	ˈæ b ɛ n d
ABEND	ə ˈb ɛ n d
ABENDROTH	ˈæ b ɪ n d r ɔ θ
ABER	ˈe ɪ b ɝ
ABERCROMBIE	ˌæ b ɝ ˈk r ɑː m b i
ABERDEEN	ˈæ b ɝ ˌd iː n
ABERFORD	ˈe ɪ b ɝ f ɝ d
ABERG	ˈæ b ɝ g
ABERLE	ˈæ b ɝ ə l
ABERLE	ˈæ b ɝ l
ABERMIN	ˈæ b ɝ m ɪ n
ABERNATHY	ˈæ b ɝ ˌn æ θ i
ABERNETHY	ˈæ b ɝ ˌn ɛ θ i
ABERRANT	æ ˈb ɛ r ə n t
ABERRATION	ˌæ b ɝ ˈe ɪ ʃ ə n
ABERRATIONAL	ˌæ b ɝ ˈe ɪ ʃ ə n ə l
ABERRATIONS	ˌæ b ɝ ˈe ɪ ʃ ə n z
ABERT	ˈæ b ɝ t
ABET	ə ˈb ɛ t
ABETTED	ə ˈb ɛ t ɪ d
ABETTING	ə ˈb ɛ t ɪ ŋ
ABEX	ˈe ɪ b ɛ k s
ABEYANCE	ə ˈb e ɪ ə n s
ABEYTA	ɑː ˈb e ɪ t ə
ABHOR	æ b ˈh ɔ r
ABHORRED	ə b ˈh ɔ r d
ABHORRENCE	ə b ˈh ɔ r ə n s
ABHORRENT	æ b ˈh ɔ r ə n t
ABHORS	ə b ˈh ɔ r z
ABIAM	ˈe ɪ b iː ə m
ABIAM'S	ˈe ɪ b iː ə m z
ABID	ˈe ɪ b ɪ d
ABIDE	ə ˈb a ɪ d
ABIDED	ə ˈb a ɪ d ɪ d
ABIDES	ə ˈb a ɪ d z
ABIDING	ə ˈb a ɪ d ɪ ŋ
ABIDJAN	æ b ɪ ˈd ʒ ɑː n
ABIE	ˈæ b i
ABIGAIL	ˈæ b ə ˌg e ɪ l
ABILA	ɑː ˈb iː l ə
ABILENE	ˈæ b ɪ ˌl iː n
ABILITIES	ə ˈb ɪ l ə ˌt iː z
ABILITY	ə ˈb ɪ l ə ˌt iː
ABIMAEL	ˌæ b ɪ ˈm e ɪ l
ABIMAELS	ˌæ b ɪ ˈm e ɪ l z
ABINGDON	ˈæ b ɪ ŋ d ə n
ABINGTON	ˈæ b ɪ ŋ t ə n
ABIO	ˈɑː b iː o ʊ
ABIOLA	ˌɑː b iː ˈo ʊ l ə
ABIOLA'S	ˌɑː b iː ˈo ʊ l ə z
ABIOMED	e ɪ ˈb iː ə m ɛ d
ABIQUIU	ə ˈb ɪ k j uː
ABITIBI	ˌæ b ɪ ˈt iː b i
ABITZ	ˈæ b ɪ t s
ABJECT	ˈæ b d ʒ ɛ k t
ABKHAZIA	æ b ˈk ɑː z j ə
ABKHAZIA	æ b ˈk æ z j ə
ABKHAZIAN	æ b ˈk ɑː z iː ə n
ABKHAZIAN	æ b ˈk æ z iː ə n
ABKHAZIAN	æ b ˈk ɑː z j ə n
ABKHAZIAN	æ b ˈk æ z j ə n
ABKHAZIANS	æ b ˈk ɑː z iː ə n z
ABKHAZIANS	æ b ˈk æ z iː ə n z
ABLAZE	ə ˈb l e ɪ z
ABLE	ˈe ɪ b ə l
ABLE-BODIED	ˈe ɪ b ə l ˈb ɑː d iː d
ABLED	ˈe ɪ b ə l d
ABLER	ˈe ɪ b ə l ɝ
ABLER	ˈe ɪ b l ɝ
ABLES	ˈe ɪ b ə l z
ABLEST	ˈe ɪ b ə l s t
ABLEST	ˈe ɪ b l ə s t
ABLOOM	ə ˈb l uː m
ABLY	ˈe ɪ b l i
ABNEGATION	ˌæ b n ɛ ˈg e ɪ ʃ ə n
ABNER	ˈæ b n ɝ
ABNEY	ˈæ b n i
ABNORMAL	æ b ˈn ɔ r m ə l
ABNORMALITIES	ˌæ b n ɔ r ˈm æ l ə t iː z
ABNORMALITY	ˌæ b n ɔ r ˈm æ l ə t i
ABNORMALLY	æ b ˈn ɔ r m ə l i
ABO	ˈɑː b o ʊ
ABO'S	ˈɑː b o ʊ z
ABOARD	ə ˈb ɔ r d
ABODE	ə ˈb o ʊ d
ABOHALIMA	æ b ə h ə ˈl iː m ə
ABOLISH	ə ˈb ɑː l ɪ ʃ
ABOLISHED	ə ˈb ɑː l ɪ ʃ t
ABOLISHES	ə ˈb ɑː l ɪ ʃ ɪ z
ABOLISHING	ə ˈb ɑː l ɪ ʃ ɪ ŋ
ABOLITION	ˌæ b ə ˈl ɪ ʃ ə n
ABOLITIONISM	ˌæ b ə ˈl ɪ ʃ ə ˌn ɪ z ə m
ABOLITIONIST	ˌæ b ə ˈl ɪ ʃ ə n ə s t
ABOLITIONISTS	ˌæ b ə ˈl ɪ ʃ ə n ə s t s
ABOLITIONISTS	ˌæ b ə ˈl ɪ ʃ ə n ə s
ABOMINABLE	ə ˈb ɑː m ə n ə b ə l
ABOMINATION	ə ˌb ɑː m ə ˈn e ɪ ʃ ə n
ABOMINATIONS	ə ˌb ɑː m ə ˈn e ɪ ʃ ə n z
ABOOD	ə ˈb uː d
ABOODI	ə ˈb uː d i
ABOR	ə ˈb ɔ r
ABORIGINAL	ˌæ b ɝ ˈɪ d ʒ ə n ə l
ABORIGINE	ˌæ b ɝ ˈɪ d ʒ ə n i
ABORIGINES	ˌæ b ɝ ˈɪ d ʒ ə n iː z
ABORN	ə ˈb ɔ r n
ABORT	ə ˈb ɔ r t
ABORTED	ə ˈb ɔ r t ɪ d
ABORTIFACIENT	ə ˌb ɔ r t ə ˈf e ɪ ʃ ə n t
ABORTIFACIENTS	ə ˌb ɔ r t ə ˈf e ɪ ʃ ə n t s
ABORTING	ə ˈb ɔ r t ɪ ŋ
ABORTION	ə ˈb ɔ r ʃ ə n
ABORTIONIST	ə ˈb ɔ r ʃ ə n ɪ s t
ABORTIONISTS	ə ˈb ɔ r ʃ ə n ɪ s t s
ABORTIONISTS	ə ˈb ɔ r ʃ ə n ɪ s
ABORTIONS	ə ˈb ɔ r ʃ ə n z
ABORTIVE	ə ˈb ɔ r t ɪ v
ABORTS	ə ˈb ɔ r t s
ABOTT	ə ˈb ɑː t
ABOU	ə ˈb uː
ABOUD	ɑː ˈb uː d
ABOUHALIMA	ˌɑː b uː h ɑː ˈl iː m ə
ABOUHALIMA'S	ˌɑː b uː h ɑː ˈl iː m ə z
ABOUND	ə ˈb a ʊ n d
ABOUNDED	ə ˈb a ʊ n d ɪ d
ABOUNDING	ə ˈb a ʊ n d ɪ ŋ
ABOUNDS	ə ˈb a ʊ n d z
ABOUT	ə ˈb a ʊ t
ABOUT'S	ə ˈb a ʊ t s
ABOVE	ə ˈb ʌ v
ABOVE'S	ə ˈb ʌ v z
ABOVEBOARD	ə ˈb ʌ v ˌb ɔ r d
ABPLANALP	ˈæ b p l ə n æ l p
ABRA	ˈɑː b r ə
ABRACADABRA	ˌæ b r ə k ə ˈd æ b r ə
ABRAHAM	ˈe ɪ b r ə ˌh æ m
ABRAHAMIAN	ˌæ b r ə ˈh e ɪ m iː ə n
ABRAHAMS	ˈe ɪ b r ə ˌh æ m z
ABRAHAMSEN	æ b r ə ˈh æ m s ə n
ABRAHAMSON	ə ˈb r æ h ə m s ə n
ABRAM	ə ˈb r æ m
ABRAM'S	ˈe ɪ b r ə m z
ABRAMCZYK	ˈɑː b r ə m t ʃ ɪ k
ABRAMO	ɑː ˈb r ɑː m o ʊ
ABRAMOVITZ	ə ˈb r ɑː m ə v ɪ t s
ABRAMOWICZ	ə ˈb r ɑː m ə v ɪ t ʃ
ABRAMOWITZ	ə ˈb r ɑː m ə w ɪ t s
ABRAMS	ˈe ɪ b r ə m z
ABRAMS'S	ˈe ɪ b r ə m z ɪ z
ABRAMSON	ˈe ɪ b r ə m s ə n
ABRASION	ə ˈb r e ɪ ʒ ə n
ABRASIONS	ə ˈb r e ɪ ʒ ə n z
ABRASIVE	ə ˈb r e ɪ s ɪ v
ABRASIVES	ə ˈb r e ɪ s ɪ v z
ABRAXA	ə ˈb r æ k s ə
ABRAXA'S	ə ˈb r æ k s ə z
ABRAXAS	ə ˈb r æ k s ə z
ABREAST	ə ˈb r ɛ s t
ABREGO	ɑː ˈb r ɛ g o ʊ
ABREU	ə ˈb r uː
ABRIDGE	ə ˈb r ɪ d ʒ
ABRIDGED	ə ˈb r ɪ d ʒ d
ABRIDGEMENT	ə ˈb r ɪ d ʒ m ə n t
ABRIDGES	ə ˈb r ɪ d ʒ ə z
ABRIDGING	ə ˈb r ɪ d ʒ ɪ ŋ
ABRIL	ə ˈb r ɪ l
ABROAD	ə ˈb r ɔ d
ABROGATE	ˈæ b r ə ˌg e ɪ t
ABROGATED	ˈæ b r ə ˌg e ɪ t ɪ d
ABROGATING	ˈæ b r ə ˌg e ɪ t ɪ ŋ
ABROGATION	ˌæ b r ə ˈg e ɪ ʃ ə n
ABROL	ə ˈb r o ʊ l
ABRON	ə ˈb r ɑː n
ABRUPT	ə ˈb r ʌ p t
ABRUPTLY	ə ˈb r ʌ p t l i
ABRUPTNESS	ə ˈb r ʌ p t n ə s
ABRUTYN	ˈe ɪ b r uː t ɪ n
ABRUZZESE	ɑː b r uː t ˈs e ɪ z i
ABRUZZO	ɑː ˈb r uː z o ʊ
ABS	ˈe ɪ ˈb iː ˈɛ s
ABS	ˈæ b z
ABSALOM	ˈæ b s ə l ə m
ABSARAKA	æ b ˈs ɑː r ə k ə
ABSCAM	ˈæ b s k æ m
ABSCESS	ˈæ b ˌs ɛ s
ABSCOND	æ b ˈs k ɑː n d
ABSCONDED	æ b ˈs k ɑː n d ə d
ABSCONDING	æ b ˈs k ɑː n d ɪ ŋ
ABSCONDS	æ b ˈs k ɑː n d z
ABSECON	ˈæ b s ə k ɔ n
ABSENCE	ˈæ b s ə n s
ABSENCES	ˈæ b s ə n s ɪ z
ABSENT	ˈæ b s ə n t
ABSENTEE	ˌæ b s ə n ˈt iː
ABSENTEEISM	ˌæ b s ə n ˈt iː ɪ z ə m
ABSENTEES	ˌæ b s ə n ˈt iː z
ABSENTIA	æ b ˈs ɛ n ʃ ə
ABSHER	ˈæ b ʃ ɝ
ABSHIER	ˈæ b ʃ iː ɝ
ABSHIRE	ˈæ b ˌʃ a ɪ r
ABSINTHE	ˈæ b s ɪ n θ
ABSO	ˈæ b s o ʊ
ABSOLOM	ˈæ b s ə l ə m
ABSOLUT	ˌæ b s ə ˈl uː t
ABSOLUT'S	ˌæ b s ə ˈl uː t s
ABSOLUTE	ˈæ b s ə ˌl uː t
ABSOLUTELY	ˌæ b s ə ˈl uː t l i
ABSOLUTENESS	ˈæ b s ə ˌl uː t n ə s
ABSOLUTES	ˈæ b s ə ˌl uː t s
ABSOLUTION	ˌæ b s ə ˈl uː ʃ ə n
ABSOLUTISM	ˈæ b s ə ˌl uː ˌt ɪ z ə m
ABSOLUTIST	æ b s ə ˈl uː t ɪ s t
ABSOLVE	ə b ˈz ɑː l v
ABSOLVE	æ b ˈz ɑː l v
ABSOLVED	ə b ˈz ɑː l v d
ABSOLVED	æ b ˈz ɑː l v d
ABSOLVES	ə b ˈz ɑː l v z
ABSOLVES	æ b ˈz ɑː l v z
ABSOLVING	ə b ˈz ɑː l v ɪ ŋ
ABSOLVING	æ b ˈz ɑː l v ɪ ŋ
ABSORB	ə b ˈz ɔ r b
ABSORBED	ə b ˈz ɔ r b d
ABSORBENCY	ə b ˈz ɔ r b ə n s i
ABSORBENT	ə b ˈz ɔ r b ə n t
ABSORBER	ə b ˈz ɔ r b ɝ
ABSORBERS	ə b ˈz ɔ r b ɝ z
ABSORBING	ə b ˈz ɔ r b ɪ ŋ
ABSORBS	ə b ˈz ɔ r b z
ABSORPTION	ə b ˈz ɔ r p ʃ ə n
ABSORPTION	ə b ˈs ɔ r p ʃ ə n
ABSTAIN	ə b ˈs t e ɪ n
ABSTAIN	æ b ˈs t e ɪ n
ABSTAINED	ə b ˈs t e ɪ n d
ABSTAINED	æ b ˈs t e ɪ n d
ABSTAINING	ə b ˈs t e ɪ n ɪ ŋ
ABSTAINING	æ b ˈs t e ɪ n ɪ ŋ
ABSTENTION	ə b ˈs t ɛ n t ʃ ə n
ABSTENTION	æ b ˈs t ɛ n t ʃ ə n
ABSTENTIONS	ə b ˈs t ɛ n t ʃ ə n z
ABSTENTIONS	æ b ˈs t ɛ n t ʃ ə n z
ABSTINENCE	ˈæ b s t ə n ə n s
ABSTINENT	ˈæ b s t ə n ə n t
ABSTON	ˈæ b s t ə n
ABSTRACT	æ b ˈs t r æ k t
ABSTRACT	ˈæ b ˌs t r æ k t
ABSTRACTED	ˈæ b ˌs t r æ k t ɪ d
ABSTRACTION	æ b ˈs t r æ k ʃ ə n
ABSTRACTIONS	æ b ˈs t r æ k ʃ ə n z
ABSTRACTS	ˈæ b s t r æ k t s
ABSTRUSE	ə b ˈs t r uː s
ABSURD	ə b ˈs ɝː d
ABSURDIST	ə b ˈs ɝː d ɪ s t
ABSURDITIES	ə b ˈs ɝː d ə t iː z
ABSURDITY	ə b ˈs ɝː d ə t i
ABSURDLY	ə b ˈs ɝː d l i
ABT	ˈæ b t
ABT	ˈe ɪ ˈb iː ˈt iː
ABTS	ˈæ b t s
ABTS	ˈe ɪ ˈb iː ˈt iː z
ABTS	ˈe ɪ ˈb iː ˈt iː ˈɛ s
ABU	ˈæ b uː
ABUDRAHM	ə ˈb ʌ d r ə m
ABUELLAH	ə b ˈw ɛ l ə
ABUELLAH'S	ə b ˈw ɛ l ə z
ABULADZE	ˌæ b j uː ˈl æ d z i
ABUNDANCE	ə ˈb ʌ n d ə n s
ABUNDANT	ə ˈb ʌ n d ə n t
ABUNDANTLY	ə ˈb ʌ n d ə n t l i
ABURTO	ə ˈb ʊ r ˌt o ʊ
ABURTO'S	ə ˈb ʊ r ˌt o ʊ z
ABUSE	ə ˈb j uː s
ABUSE	ə ˈb j uː z
ABUSED	ə ˈb j uː z d
ABUSER	ə ˈb j uː z ɝ
ABUSERS	ə ˈb j uː z ɝ z
ABUSES	ə ˈb j uː s ɪ z
ABUSES	ə ˈb j uː z ɪ z
ABUSING	ə ˈb j uː z ɪ ŋ
ABUSIVE	ə ˈb j uː s ɪ v
ABUT	ə ˈb ʌ t
ABUTS	ə ˈb ʌ t s
ABUTTED	ə ˈb ʌ t ə d
ABUTTING	ə ˈb ʌ t ɪ ŋ
ABUZZ	ə ˈb ʌ z
ABYSMAL	ə ˈb ɪ z m ə l
ABYSMALLY	ə ˈb ɪ z m ə l i
ABYSS	ə ˈb ɪ s
ABYSSINIA	æ b ˈs ɪ ˌn iː ə
ABYSSINIAN	æ b ˈs ɪ ˌn iː ə n
ABZUG	ˈæ b ˌz ə g
ABZUG	ˈæ b ˌz ʊ g
AC	ˈe ɪ ˈs iː
ACA	ˈæ k ə
ACACIA	ə ˈk e ɪ ʃ ə
ACADEME	ˈæ k ə ˌd iː m
ACADEMIA	ˌæ k ə ˈd iː m iː ə
ACADEMIC	ˌæ k ə ˈd ɛ m ɪ k
ACADEMICALLY	ˌæ k ə ˈd ɛ m ɪ k l i
ACADEMICIAN	ˌæ k ə d ə ˈm ɪ ʃ ə n
ACADEMICIANS	ˌæ k ə d ə ˈm ɪ ʃ ə n z
ACADEMICIANS	ə ˌk æ d ə ˈm ɪ ʃ ə n z
ACADEMICS	ˌæ k ə ˈd ɛ m ɪ k s
ACADEMIES	ə ˈk æ d ə m iː z
ACADEMY	ə ˈk æ d ə m i
ACADEMY'S	ə ˈk æ d ə m iː z
ACADIA	ə ˈk e ɪ d iː ə
ACAMPO	ə ˈk ɑː m p o ʊ
ACAMPORA	ə ˈk æ m p ɝ ə
ACAMPSIA	ə ˈk æ m p s j ə
ACANTHA	ɑː ˈk ɑː n ð ə
ACAPULCO	ˌæ k ə ˈp ʊ l k o ʊ
ACARY	ˈæ k ɝ i
ACCARDI	ɑː ˈk ɑː r d i
ACCARDO	ɑː ˈk ɑː r d o ʊ
ACCEDE	æ k ˈs iː d
ACCEDED	æ k ˈs iː d ɪ d
ACCEDES	æ k ˈs iː d z
ACCEDING	æ k ˈs iː d ɪ ŋ
ACCEL	ə k ˈs ɛ l
ACCELERANT	æ k ˈs ɛ l ɝ ə n t
ACCELERANTS	æ k ˈs ɛ l ɝ ə n t s
ACCELERATE	æ k ˈs ɛ l ɝ ˌe ɪ t
ACCELERATED	æ k ˈs ɛ l ɝ ˌe ɪ t ɪ d
ACCELERATES	æ k ˈs ɛ l ɝ ˌe ɪ t s
ACCELERATING	æ k ˈs ɛ l ɝ ˌe ɪ t ɪ ŋ
ACCELERATION	ˌæ k ˌs ɛ l ɝ ˈe ɪ ʃ ə n
ACCELERATOR	æ k ˈs ɛ l ɝ ˌe ɪ t ɝ
ACCELERATORS	æ k ˈs ɛ l ɝ ˌe ɪ t ɝ z
ACCELEROMETER	æ k ˌs ɛ l ɝ ˈɑː m ə t ɝ
ACCELEROMETERS	æ k ˌs ɛ l ɝ ˈɑː m ə t ɝ z
ACCENT	ə k ˈs ɛ n t
ACCENT	ˈæ k ˌs ɛ n t
ACCENTED	ˈæ k s ɛ n t ɪ d
