aarónica	aaˈɾonika
abadernar	aβaðeɾnaɾ
abadernara	aβaðeɾnaɾa
abadernarais	aβaðeɾnaɾais
abadernaran	aβaðeɾnaɾan
abadernaras	aβaðeɾnaɾas
abadernare	aβaðeɾnaɾe
abadernareis	aβaðeɾnaɾeis
abadernaremos	aβaðeɾnaɾemos
abadernaren	aβaðeɾnaɾen
abadernares	aβaðeɾnaɾes
abadernaron	aβaðeɾnaɾon
abadernará	aβaðeɾnaˈɾa
abadernarán	aβaðeɾnaˈɾan
abadernarás	aβaðeɾnaˈɾas
abadernaré	aβaðeɾnaˈɾe
abadernaréis	aβaðeɾnaˈɾeis
abadernaría	aβaðeɾnaˈɾia
abadernaríais	aβaðeɾnaˈɾiais
abadernaríamos	aβaðeɾnaˈɾiamos
abadernarían	aβaðeɾnaˈɾian
abadernarías	aβaðeɾnaˈɾias
abadernas	aβaðeɾnas
abadernase	aβaðeɾnase
abadernaseis	aβaðeɾnaseis
abadernasen	aβaðeɾnasen
abadernases	aβaðeɾnases
abadernaste	aβaðeɾnaste
abadernasteis	aβaðeɾnasteis
abaderne	aβaðeɾne
abadernemos	aβaðeɾnemos
abadernen	aβaðeɾnen
abadernes	aβaðeɾnes
abaderno	aβaðeɾno
abadernábamos	aβaðeˈɾnaβamos
abadernáis	aβaðeˈɾnais
abadernáramos	aβaðeˈɾnaɾamos
abadernáremos	aβaðeˈɾnaɾemos
abadernásemos	aβaðeˈɾnasemos
abaderné	aβaðeˈɾne
abadernéis	aβaðeˈɾneis
abadernó	aβaðeˈɾno
abades	aβaðes
abadesa	aβaðesa
abadesas	aβaðesas
abadiato	aβaðjato
abadiatos	aβaðjatos
abado	aβaðo
abados	aβaðos
abadía	aβaˈðia
abadías	aβaˈðias
abaja	aβaxa
abajaba	aβaxaβa
abajabais	aβaxaβais
abajaban	aβaxaβan
abajabas	aβaxaβas
abajad	aβaxað
abajada	aβaxaða
abajadas	aβaxaðas
abajado	aβaxaðo
abajados	aβaxaðos
abajamiento	aβaxamjento
abajamientos	aβaxamjentos
abajamos	aβaxamos
abajan	aβaxan
abajando	aβaxando
abajar	aβaxaɾ
abajara	aβaxaɾa
abajarais	aβaxaɾais
abajaran	aβaxaɾan
abajaras	aβaxaɾas
abajare	aβaxaɾe
abajareis	aβaxaɾeis
abajaremos	aβaxaɾemos
abajaren	aβaxaɾen
abajares	aβaxaɾes
abajaron	aβaxaɾon
abajará	aβaxaˈɾa
abajarán	aβaxaˈɾan
abajarás	aβaxaˈɾas
abajaré	aβaxaˈɾe
abajaréis	aβaxaˈɾeis
abajaría	aβaxaˈɾia
abajaríais	aβaxaˈɾiais
abajaríamos	aβaxaˈɾiamos
abajarían	aβaxaˈɾian
abajarías	aβaxaˈɾias
abajas	aβaxas
abajase	aβaxase
abajaseis	aβaxaseis
abajasen	aβaxasen
abajases	aβaxases
abajaste	aβaxaste
abajasteis	aβaxasteis
abaje	aβaxe
abajemos	aβaxemos
abajen	aβaxen
abajes	aβaxes
abajeña	aβaxeɲa
abajeñas	aβaxeɲas
abajeño	aβaxeɲo
abajeños	aβaxeɲos
abajo	aβaxo
abajábamos	aβaˈxaβamos
abajáis	aβaˈxais
abajáramos	aβaˈxaɾamos
abajáremos	aβaˈxaɾemos
abajásemos	aβaˈxasemos
abajé	aβaˈxe
abajéis	aβaˈxeis
abajó	aβaˈxo
abalance	aβalanse
abalancemos	aβalansemos
abalancen	aβalansen
abalances	aβalanses
abalancé	aβalanˈse
abalancéis	aβalanˈseis
abalanza	aβalansa
abalanzaba	aβalansaβa
abalanzabais	aβalansaβais
abalanzaban	aβalansaβan
abalanzabas	aβalansaβas
abalanzad	aβalansað
abalanzada	aβalansaða
abalanzadas	aβalansaðas
abalanzado	aβalansaðo
abalanzados	aβalansaðos
abalanzamos	aβalansamos
abalanzan	aβalansan
abalanzando	aβalansando
abalanzar	aβalansaɾ
abalanzara	aβalansaɾa
abalanzarais	aβalansaɾais
abalanzaran	aβalansaɾan
abalanzaras	aβalansaɾas
abalanzare	aβalansaɾe
abalanzareis	aβalansaɾeis
abalanzaremos	aβalansaɾemos
abalanzaren	aβalansaɾen
abalanzares	aβalansaɾes
abalanzarme	aβalansaɾme
abalanzarnos	aβalansaɾnos
abalanzaron	aβalansaɾon
abalanzaros	aβalansaɾos
abalanzarse	aβalansaɾse
abalanzarte	aβalansaɾte
abalanzará	aβalansaˈɾa
abalanzarán	aβalansaˈɾan
abalanzarás	aβalansaˈɾas
abalanzaré	aβalansaˈɾe
abalanzaréis	aβalansaˈɾeis
abalanzaría	aβalansaˈɾia
abalanzaríais	aβalansaˈɾiais
abalanzaríamos	aβalansaˈɾiamos
abalanzarían	aβalansaˈɾian
abalanzarías	aβalansaˈɾias
abalanzas	aβalansas
abalanzase	aβalansase
abalanzaseis	aβalansaseis
abalanzasen	aβalansasen
abalanzases	aβalansases
abalanzaste	aβalansaste
abalanzasteis	aβalansasteis
abalanzo	aβalanso
abalanzábamos	aβalanˈsaβamos
abalanzáis	aβalanˈsais
abalanzándome	aβalanˈsandome
abalanzándonos	aβalanˈsandonos
abalanzándoos	aβalanˈsandoos
abalanzándose	aβalanˈsandose
abalanzándote	aβalanˈsandote
abalanzáramos	aβalanˈsaɾamos
abalanzáremos	aβalanˈsaɾemos
abalanzásemos	aβalanˈsasemos
abalanzó	aβalanˈso
aballesta	aβaʎesta
aballestaba	aβaʎestaβa
aballestabais	aβaʎestaβais
aballestaban	aβaʎestaβan
aballestabas	aβaʎestaβas
aballestad	aβaʎestað
aballestada	aβaʎestaða
aballestadas	aβaʎestaðas
aballestado	aβaʎestaðo
aballestados	aβaʎestaðos
aballestamos	aβaʎestamos
aballestan	aβaʎestan
aballestando	aβaʎestando
aballestar	aβaʎestaɾ
aballestara	aβaʎestaɾa
aballestarais	aβaʎestaɾais
aballestaran	aβaʎestaɾan
aballestaras	aβaʎestaɾas
aballestare	aβaʎestaɾe
aballestareis	aβaʎestaɾeis
aballestaremos	aβaʎestaɾemos
aballestaren	aβaʎestaɾen
aballestares	aβaʎestaɾes
aballestaron	aβaʎestaɾon
aballestará	aβaʎestaˈɾa
aballestarán	aβaʎestaˈɾan
aballestarás	aβaʎestaˈɾas
aballestaré	aβaʎestaˈɾe
aballestaréis	aβaʎestaˈɾeis
aballestaría	aβaʎestaˈɾia
aballestaríais	aβaʎestaˈɾiais
aballestaríamos	aβaʎestaˈɾiamos
aballestarían	aβaʎestaˈɾian
aballestarías	aβaʎestaˈɾias
aballestas	aβaʎestas
aballestase	aβaʎestase
aballestaseis	aβaʎestaseis
aballestasen	aβaʎestasen
aballestases	aβaʎestases
aballestaste	aβaʎestaste
aballestasteis	aβaʎestasteis
aballeste	aβaʎeste
aballestemos	aβaʎestemos
aballesten	aβaʎesten
aballestes	aβaʎestes
aballesto	aβaʎesto
aballestábamos	aβaʎeˈstaβamos
aballestáis	aβaʎeˈstais
aballestáramos	aβaʎeˈstaɾamos
aballestáremos	aβaʎeˈstaɾemos
aballestásemos	aβaʎeˈstasemos
aballesté	aβaʎeˈste
aballestéis	aβaʎeˈsteis
aballestó	aβaʎeˈsto
abalorio	aβaloɾjo
abalorios	aβaloɾjos
abaluarta	aβalwaɾta
abaluartaba	aβalwaɾtaβa
abaluartabais	aβalwaɾtaβais
abaluartaban	aβalwaɾtaβan
abaluartabas	aβalwaɾtaβas
abaluartad	aβalwaɾtað
abaluartada	aβalwaɾtaða
abaluartadas	aβalwaɾtaðas
abaluartado	aβalwaɾtaðo
abaluartados	aβalwaɾtaðos
abaluartamos	aβalwaɾtamos
abaluartan	aβalwaɾtan
abaluartando	aβalwaɾtando
abaluartar	aβalwaɾtaɾ
abaluartara	aβalwaɾtaɾa
abaluartarais	aβalwaɾtaɾais
abaluartaran	aβalwaɾtaɾan
abaluartaras	aβalwaɾtaɾas
abaluartare	aβalwaɾtaɾe
abaluartareis	aβalwaɾtaɾeis
abaluartaremos	aβalwaɾtaɾemos
abaluartaren	aβalwaɾtaɾen
abaluartares	aβalwaɾtaɾes
abaluartaron	aβalwaɾtaɾon
abaluartará	aβalwaɾtaˈɾa
abaluartarán	aβalwaɾtaˈɾan
abaluartarás	aβalwaɾtaˈɾas
abaluartaré	aβalwaɾtaˈɾe
abaluartaréis	aβalwaɾtaˈɾeis
abaluartaría	aβalwaɾtaˈɾia
abaluartaríais	aβalwaɾtaˈɾiais
abaluartaríamos	aβalwaɾtaˈɾiamos
abaluartarían	aβalwaɾtaˈɾian
abaluartarías	aβalwaɾtaˈɾias
abaluartas	aβalwaɾtas
abaluartase	aβalwaɾtase
abaluartaseis	aβalwaɾtaseis
abaluartasen	aβalwaɾtasen
abaluartases	aβalwaɾtases
abaluartaste	aβalwaɾtaste
abaluartasteis	aβalwaɾtasteis
abaluarte	aβalwaɾte
abaluartemos	aβalwaɾtemos
abaluarten	aβalwaɾten
abaluartes	aβalwaɾtes
abaluarto	aβalwaɾto
abaluartábamos	aβalwaˈɾtaβamos
abaluartáis	aβalwaˈɾtais
abaluartáramos	aβalwaˈɾtaɾamos
abaluartáremos	aβalwaˈɾtaɾemos
abaluartásemos	aβalwaˈɾtasemos
abaluarté	aβalwaˈɾte
abaluartéis	aβalwaˈɾteis
abaluartó	aβalwaˈɾto
abamos	aβamos
aban	aβan
abana	aβana
abanaba	aβanaβa
abanabais	aβanaβais
abanaban	aβanaβan
abanabas	aβanaβas
abanad	aβanað
abanada	aβanaða
abanadas	aβanaðas
abanado	aβanaðo
abanados	aβanaðos
abanamos	aβanamos
abanan	aβanan
abanando	aβanando
abanar	aβanaɾ
abanara	aβanaɾa
abanarais	aβanaɾais
abanaran	aβanaɾan
abanaras	aβanaɾas
abanare	aβanaɾe
abanareis	aβanaɾeis
abanaremos	aβanaɾemos
abanaren	aβanaɾen
abanares	aβanaɾes
abanaron	aβanaɾon
abanará	aβanaˈɾa
abanarán	aβanaˈɾan
abanarás	aβanaˈɾas
abanaré	aβanaˈɾe
abanaréis	aβanaˈɾeis
abanaría	aβanaˈɾia
abanaríais	aβanaˈɾiais
abanaríamos	aβanaˈɾiamos
abanarían	aβanaˈɾian
abanarías	aβanaˈɾias
abanas	aβanas
abanase	aβanase
abanaseis	aβanaseis
abanasen	aβanasen
abanases	aβanases
abanaste	aβanaste
abanasteis	aβanasteis
abandera	aβandeɾa
abanderaba	aβandeɾaβa
abanderabais	aβandeɾaβais
abanderaban	aβandeɾaβan
abanderabas	aβandeɾaβas
abanderad	aβandeɾað
abanderada	aβandeɾaða
abanderadas	aβandeɾaðas
abanderado	aβandeɾaðo
abanderados	aβandeɾaðos
abanderamiento	aβandeɾamjento
abanderamientos	aβandeɾamjentos
abanderamos	aβandeɾamos
abanderan	aβandeɾan
abanderando	aβandeɾando
abanderar	aβandeɾaɾ
abanderara	aβandeɾaɾa
abanderarais	aβandeɾaɾais
abanderaran	aβandeɾaɾan
abanderaras	aβandeɾaɾas
abanderare	aβandeɾaɾe
abanderareis	aβandeɾaɾeis
abanderaremos	aβandeɾaɾemos
abanderaren	aβandeɾaɾen
abanderares	aβandeɾaɾes
abanderaron	aβandeɾaɾon
abanderará	aβandeɾaˈɾa
abanderarán	aβandeɾaˈɾan
abanderarás	aβandeɾaˈɾas
abanderaré	aβandeɾaˈɾe
abanderaréis	aβandeɾaˈɾeis
abanderaría	aβandeɾaˈɾia
abanderaríais	aβandeɾaˈɾiais
abanderaríamos	aβandeɾaˈɾiamos
abanderarían	aβandeɾaˈɾian
abanderarías	aβandeɾaˈɾias
abanderas	aβandeɾas
abanderase	aβandeɾase
abanderaseis	aβandeɾaseis
abanderasen	aβandeɾasen
abanderases	aβandeɾases
abanderaste	aβandeɾaste
abanderasteis	aβandeɾasteis
abandere	aβandeɾe
abanderemos	aβandeɾemos
abanderen	aβandeɾen
abanderes	aβandeɾes
abanderice	aβandeɾise
abandericemos	aβandeɾisemos
abandericen	aβandeɾisen
abanderices	aβandeɾises
abandericé	aβandeɾiˈse
abandericéis	aβandeɾiˈseis
abanderiza	aβandeɾisa
abanderizaba	aβandeɾisaβa
abanderizabais	aβandeɾisaβais
abanderizaban	aβandeɾisaβan
abanderizabas	aβandeɾisaβas
abanderizad	aβandeɾisað
abanderizada	aβandeɾisaða
abanderizadas	aβandeɾisaðas
abanderizado	aβandeɾisaðo
abanderizados	aβandeɾisaðos
abanderizamos	aβandeɾisamos
abanderizan	aβandeɾisan
abanderizando	aβandeɾisando
abanderizar	aβandeɾisaɾ
abanderizara	aβandeɾisaɾa
abanderizarais	aβandeɾisaɾais
abanderizaran	aβandeɾisaɾan
abanderizaras	aβandeɾisaɾas
abanderizare	aβandeɾisaɾe
abanderizareis	aβandeɾisaɾeis
abanderizaremos	aβandeɾisaɾemos
abanderizaren	aβandeɾisaɾen
abanderizares	aβandeɾisaɾes
abanderizaron	aβandeɾisaɾon
abanderizará	aβandeɾisaˈɾa
abanderizarán	aβandeɾisaˈɾan
abanderizarás	aβandeɾisaˈɾas
abanderizaré	aβandeɾisaˈɾe
abanderizaréis	aβandeɾisaˈɾeis
abanderizaría	aβandeɾisaˈɾia
abanderizaríais	aβandeɾisaˈɾiais
abanderizaríamos	aβandeɾisaˈɾiamos
abanderizarían	aβandeɾisaˈɾian
abanderizarías	aβandeɾisaˈɾias
abanderizas	aβandeɾisas
abanderizase	aβandeɾisase
abanderizaseis	aβandeɾisaseis
abanderizasen	aβandeɾisasen
abanderizases	aβandeɾisases
abanderizaste	aβandeɾisaste
abanderizasteis	aβandeɾisasteis
abanderizo	aβandeɾiso
abanderizábamos	aβandeɾiˈsaβamos
abanderizáis	aβandeɾiˈsais
abanderizáramos	aβandeɾiˈsaɾamos
abanderizáremos	aβandeɾiˈsaɾemos
abanderizásemos	aβandeɾiˈsasemos
abanderizó	aβandeɾiˈso
abandero	aβandeɾo
abanderábamos	aβandeˈɾaβamos
abanderáis	aβandeˈɾais
abanderáramos	aβandeˈɾaɾamos
abanderáremos	aβandeˈɾaɾemos
abanderásemos	aβandeˈɾasemos
abanderé	aβandeˈɾe
abanderéis	aβandeˈɾeis
abanderó	aβandeˈɾo
abando	aβando
abandona	aβandona
abandonaba	aβandonaβa
abandonabais	aβandonaβais
abandonaban	aβandonaβan
abandonabas	aβandonaβas
abandonad	aβandonað
abandonada	aβandonaða
abandonadas	aβandonaðas
abandonado	aβandonaðo
abandonados	aβandonaðos
abandonamiento	aβandonamjento
abandonamientos	aβandonamjentos
abandonamos	aβandonamos
abandonan	aβandonan
abandonando	aβandonando
abandonar	aβandonaɾ
abandonara	aβandonaɾa
abandonarais	aβandonaɾais
abandonaran	aβandonaɾan
abandonaras	aβandonaɾas
abandonare	aβandonaɾe
abandonareis	aβandonaɾeis
abandonaremos	aβandonaɾemos
abandonaren	aβandonaɾen
abandonares	aβandonaɾes
abandonarla	aβandonaɾla
abandonarlas	aβandonaɾlas
abandonarle	aβandonaɾle
abandonarles	aβandonaɾles
abandonarlo	aβandonaɾlo
abandonarlos	aβandonaɾlos
abandonarme	aβandonaɾme
abandonarnos	aβandonaɾnos
abandonaron	aβandonaɾon
abandonaros	aβandonaɾos
abandonarse	aβandonaɾse
abandonarte	aβandonaɾte
abandonará	aβandonaˈɾa
abandonarán	aβandonaˈɾan
abandonarás	aβandonaˈɾas
abandonaré	aβandonaˈɾe
abandonaréis	aβandonaˈɾeis
abandonaría	aβandonaˈɾia
abandonaríais	aβandonaˈɾiais
abandonaríamos	aβandonaˈɾiamos
abandonarían	aβandonaˈɾian
abandonarías	aβandonaˈɾias
abandonas	aβandonas
abandonase	aβandonase
abandonaseis	aβandonaseis
abandonasen	aβandonasen
abandonases	aβandonases
abandonaste	aβandonaste
abandonasteis	aβandonasteis
abandone	aβandone
abandonemos	aβandonemos
abandonen	aβandonen
abandones	aβandones
abandonismo	aβandonizmo
abandonismos	aβandonizmos
abandonista	aβandonista
abandonistas	aβandonistas
abandono	aβandono
abandonos	aβandonos
abandonábamos	aβandoˈnaβamos
abandonáis	aβandoˈnais
abandonándola	aβandoˈnandola
abandonándolas	aβandoˈnandolas
abandonándole	aβandoˈnandole
abandonándoles	aβandoˈnandoles
abandonándolo	aβandoˈnandolo
abandonándolos	aβandoˈnandolos
abandonándome	aβandoˈnandome
abandonándonos	aβandoˈnandonos
abandonándoos	aβandoˈnandoos
abandonándose	aβandoˈnandose
abandonándote	aβandoˈnandote
abandonáramos	aβandoˈnaɾamos
abandonáremos	aβandoˈnaɾemos
abandonásemos	aβandoˈnasemos
abandoné	aβandoˈne
abandonéis	aβandoˈneis
abandonó	aβandoˈno
abane	aβane
abanemos	aβanemos
abanen	aβanen
abanera	aβaneɾa
abaneras	aβaneɾas
abanero	aβaneɾo
abaneros	aβaneɾos
abanes	aβanes
abanica	aβanika
abanicaba	aβanikaβa
abanicabais	aβanikaβais
abanicaban	aβanikaβan
abanicabas	aβanikaβas
abanicad	aβanikað
abanicada	aβanikaða
abanicadas	aβanikaðas
abanicado	aβanikaðo
abanicados	aβanikaðos
abanicamos	aβanikamos
abanican	aβanikan
abanicando	aβanikando
abanicar	aβanikaɾ
abanicara	aβanikaɾa
abanicarais	aβanikaɾais
abanicaran	aβanikaɾan
abanicaras	aβanikaɾas
abanicare	aβanikaɾe
abanicareis	aβanikaɾeis
abanicaremos	aβanikaɾemos
abanicaren	aβanikaɾen
abanicares	aβanikaɾes
abanicaron	aβanikaɾon
abanicará	aβanikaˈɾa
abanicarán	aβanikaˈɾan
abanicarás	aβanikaˈɾas
abanicaré	aβanikaˈɾe
abanicaréis	aβanikaˈɾeis
abanicaría	aβanikaˈɾia
abanicaríais	aβanikaˈɾiais
abanicaríamos	aβanikaˈɾiamos
abanicarían	aβanikaˈɾian
abanicarías	aβanikaˈɾias
abanicas	aβanikas
abanicase	aβanikase
abanicaseis	aβanikaseis
abanicasen	aβanikasen
abanicases	aβanikases
abanicaste	aβanikaste
abanicasteis	aβanikasteis
abanicazo	aβanikaso
abanicazos	aβanikasos
abanico	aβaniko
abanicos	aβanikos
abanicábamos	aβaniˈkaβamos
abanicáis	aβaniˈkais
abanicáramos	aβaniˈkaɾamos
abanicáremos	aβaniˈkaɾemos
abanicásemos	aβaniˈkasemos
abanicó	aβaniˈko
abanique	aβanike
abaniquemos	aβanikemos
abaniquen	aβaniken
abaniqueo	aβanikeo
abaniqueos	aβanikeos
abaniquera	aβanikeɾa
abaniqueras	aβanikeɾas
abaniquero	aβanikeɾo
abaniqueros	aβanikeɾos
abaniquería	aβanikeˈɾia
abaniquerías	aβanikeˈɾias
abaniques	aβanikes
abaniqué	aβaniˈke
abaniquéis	aβaniˈkeis
abano	aβano
abanto	aβanto
abantos	aβantos
abanábamos	aβaˈnaβamos
abanáis	aβaˈnais
abanáramos	aβaˈnaɾamos
abanáremos	aβaˈnaɾemos
abanásemos	aβaˈnasemos
abané	aβaˈne
abanéis	aβaˈneis
abanó	aβaˈno
abar	aβaɾ
abara	aβaɾa
abarais	aβaɾais
abaran	aβaɾan
abaras	aβaɾas
abarata	aβaɾata
abarataba	aβaɾataβa
abaratabais	aβaɾataβais
abarataban	aβaɾataβan
abaratabas	aβaɾataβas
abaratad	aβaɾatað
abaratada	aβaɾataða
abaratadas	aβaɾataðas
abaratado	aβaɾataðo
abaratados	aβaɾataðos
abaratamiento	aβaɾatamjento
abaratamientos	aβaɾatamjentos
abaratamos	aβaɾatamos
abaratan	aβaɾatan
abaratando	aβaɾatando
abaratar	aβaɾataɾ
abaratara	aβaɾataɾa
abaratarais	aβaɾataɾais
abarataran	aβaɾataɾan
abarataras	aβaɾataɾas
abaratare	aβaɾataɾe
abaratareis	aβaɾataɾeis
abarataremos	aβaɾataɾemos
abarataren	aβaɾataɾen
abaratares	aβaɾataɾes
abarataron	aβaɾataɾon
abaratará	aβaɾataˈɾa
abaratarán	aβaɾataˈɾan
abaratarás	aβaɾataˈɾas
abarataré	aβaɾataˈɾe
abarataréis	aβaɾataˈɾeis
abarataría	aβaɾataˈɾia
abarataríais	aβaɾataˈɾiais
abarataríamos	aβaɾataˈɾiamos
abaratarían	aβaɾataˈɾian
abaratarías	aβaɾataˈɾias
abaratas	aβaɾatas
abaratase	aβaɾatase
abarataseis	aβaɾataseis
abaratasen	aβaɾatasen
abaratases	aβaɾatases
abarataste	aβaɾataste
abaratasteis	aβaɾatasteis
abarate	aβaɾate
abaratemos	aβaɾatemos
abaraten	aβaɾaten
abarates	aβaɾates
abarato	aβaɾato
abaratábamos	aβaɾaˈtaβamos
abaratáis	aβaɾaˈtais
abaratáramos	aβaɾaˈtaɾamos
abaratáremos	aβaɾaˈtaɾemos
abaratásemos	aβaɾaˈtasemos
abaraté	aβaɾaˈte
abaratéis	aβaɾaˈteis
abarató	aβaɾaˈto
abarbecha	aβaɾβetʃa
abarbechaba	aβaɾβetʃaβa
abarbechabais	aβaɾβetʃaβais
abarbechaban	aβaɾβetʃaβan
abarbechabas	aβaɾβetʃaβas
abarbechad	aβaɾβetʃað
abarbechada	aβaɾβetʃaða
abarbechadas	aβaɾβetʃaðas
abarbechado	aβaɾβetʃaðo
abarbechados	aβaɾβetʃaðos
abarbechamos	aβaɾβetʃamos
abarbechan	aβaɾβetʃan
abarbechando	aβaɾβetʃando
abarbechar	aβaɾβetʃaɾ
abarbechara	aβaɾβetʃaɾa
abarbecharais	aβaɾβetʃaɾais
abarbecharan	aβaɾβetʃaɾan
abarbecharas	aβaɾβetʃaɾas
abarbechare	aβaɾβetʃaɾe
abarbechareis	aβaɾβetʃaɾeis
abarbecharemos	aβaɾβetʃaɾemos
abarbecharen	aβaɾβetʃaɾen
abarbechares	aβaɾβetʃaɾes
abarbecharon	aβaɾβetʃaɾon
abarbechará	aβaɾβetʃaˈɾa
abarbecharán	aβaɾβetʃaˈɾan
abarbecharás	aβaɾβetʃaˈɾas
abarbecharé	aβaɾβetʃaˈɾe
abarbecharéis	aβaɾβetʃaˈɾeis
abarbecharía	aβaɾβetʃaˈɾia
abarbecharíais	aβaɾβetʃaˈɾiais
abarbecharíamos	aβaɾβetʃaˈɾiamos
abarbecharían	aβaɾβetʃaˈɾian
abarbecharías	aβaɾβetʃaˈɾias
abarbechas	aβaɾβetʃas
abarbechase	aβaɾβetʃase
abarbechaseis	aβaɾβetʃaseis
abarbechasen	aβaɾβetʃasen
abarbechases	aβaɾβetʃases
abarbechaste	aβaɾβetʃaste
abarbechasteis	aβaɾβetʃasteis
abarbeche	aβaɾβetʃe
abarbechemos	aβaɾβetʃemos
abarbechen	aβaɾβetʃen
abarbeches	aβaɾβetʃes
abarbecho	aβaɾβetʃo
abarbechábamos	aβaɾβeˈtʃaβamos
abarbecháis	aβaɾβeˈtʃais
abarbecháramos	aβaɾβeˈtʃaɾamos
abarbecháremos	aβaɾβeˈtʃaɾemos
abarbechásemos	aβaɾβeˈtʃasemos
abarbeché	aβaɾβeˈtʃe
abarbechéis	aβaɾβeˈtʃeis
abarbechó	aβaɾβeˈtʃo
abarca	aβaɾka
abarcaba	aβaɾkaβa
abarcabais	aβaɾkaβais
abarcaban	aβaɾkaβan
abarcabas	aβaɾkaβas
abarcable	aβaɾkaβle
abarcables	aβaɾkaβles
abarcad	aβaɾkað
abarcada	aβaɾkaða
abarcadas	aβaɾkaðas
abarcado	aβaɾkaðo
abarcador	aβaɾkaðoɾ
abarcadora	aβaɾkaðoɾa
abarcadoras	aβaɾkaðoɾas
abarcadores	aβaɾkaðoɾes
abarcados	aβaɾkaðos
abarcadura	aβaɾkaðuɾa
abarcaduras	aβaɾkaðuɾas
abarcamiento	aβaɾkamjento
abarcamientos	aβaɾkamjentos
abarcamos	aβaɾkamos
abarcan	aβaɾkan
abarcando	aβaɾkando
abarcar	aβaɾkaɾ
abarcara	aβaɾkaɾa
abarcarais	aβaɾkaɾais
abarcaran	aβaɾkaɾan
abarcaras	aβaɾkaɾas
abarcare	aβaɾkaɾe
abarcareis	aβaɾkaɾeis
abarcaremos	aβaɾkaɾemos
abarcaren	aβaɾkaɾen
abarcares	aβaɾkaɾes
abarcarla	aβaɾkaɾla
abarcarlas	aβaɾkaɾlas
abarcarle	aβaɾkaɾle
abarcarles	aβaɾkaɾles
abarcarlo	aβaɾkaɾlo
abarcarlos	aβaɾkaɾlos
abarcaron	aβaɾkaɾon
abarcará	aβaɾkaˈɾa
abarcarán	aβaɾkaˈɾan
abarcarás	aβaɾkaˈɾas
abarcaré	aβaɾkaˈɾe
abarcaréis	aβaɾkaˈɾeis
abarcaría	aβaɾkaˈɾia
