a'ter	eɪ t ə ɹ
acclivities	æ k l ɪ f ə t i z
acclivity	æ k l ɪ f ə t i
accompanieth	ə k ʌ m p n i ɪ t
accomplisheth	ə k ɑ m p l ɪ ʃ ɪ t
accordeth	ə k ɔ ɹ d ɪ t
accoucheur	ə k u ʃ ə ɹ
accounteth	ə k aʊ n ɪ t
accoutered	ə k u t ə ɹ d
accouterments	ə k u t ə ɹ m ə n t s
accoutred	ə k u t ə ɹ d
accoutrement	ə k u t ə ɹ m ə n t
accoutrements	ə k u t ə ɹ m ə n t s
accumulative	ə k j u m j ə l eɪ t ɪ f
accumulator	ə k j u m j ə l eɪ t ə ɹ
accumulators	ə k j u m j ə l eɪ t ə ɹ z
accuracies	æ k j ə ɹ ə s i z
accuracy	æ k j ə ɹ ə s i
accurate	æ k j ə ɹ ə t
accurately	æ k j ə ɹ ə t l i
accurs'd	æ k j ə ɹ d
accurst	æ k j ə ɹ s t
accusative	ə k j u z ə t ɪ f
accuser	ə k j u z ə ɹ
accuser's	ə k j u z ə ɹ z
accusers	ə k j u z ə ɹ z
accuseth	ə k ʌ s ɪ t
acer	eɪ s ə ɹ
achard	ə tʃ ə ɹ d
acharnae	æ k ə ɹ n eɪ
acherley	eɪ k ə ɹ l i
acherusian	ə tʃ ə ɹ u ʒ ɪ n
acheter	æ tʃ ə t ə ɹ
achiev'd	ə tʃ i f d
achievable	ə tʃ i f ə b ə l
achieve	ə tʃ i f
achieved	ə tʃ i f d
achievement	ə tʃ i f m ə n t
achievements	ə tʃ i f m ə n t s
achiever	ə tʃ i f ə ɹ
achievers	ə tʃ i f ə ɹ z
achieves	ə tʃ i f z
achieving	ə tʃ i f ɪ ŋ
achior	ə tʃ i ə ɹ
achivi	ə k ɪ f i
achor	eɪ k ə ɹ
achora	eɪ k ə ɹ ə
achyranthes	eɪ k ə ɹ æ n t ə z
acker	æ k ə ɹ
ackerman	æ k ə ɹ m ə n
ackerman's	æ k ə ɹ m ə n z
ackermann	æ k ə ɹ m ə n
acknowledgeth	ɪ k n ɑ l ɪ dʒ ɪ t
acquir'd	ə k w aɪ ə ɹ d
acquirable	ə k w aɪ ə ɹ ə b ə l
acquire	ə k w aɪ ə ɹ
acquired	ə k w aɪ ə ɹ d
acquires	ə k w aɪ ə ɹ z
acquiring	ə k w aɪ ə ɹ ɪ ŋ
acquisitive	ə k w ɪ z ə t ɪ f
acquisitiveness	ə k w ɪ z ə t ɪ f n ə s
acquitteth	ə k w ɪ t ɪ t
acre	eɪ k ə ɹ
acre's	eɪ k ə ɹ z
acreage	eɪ k ə ɹ ɪ dʒ
acred	eɪ k ə ɹ d
acredale	eɪ k ə ɹ d eɪ l
acres	eɪ k ə ɹ z
acreville	eɪ k ə ɹ f ɪ l
acteth	æ k t ɛ t
activate	æ k t ə f eɪ t
activated	æ k t ə f eɪ t ə d
activating	æ k t ə f eɪ t ɪ ŋ
activation	æ k t ə f eɪ ʃ ə n
active	æ k t ɪ f
actively	æ k t ɪ f l i
activism	æ k t ɪ f ɪ z ə m
activite	æ k t ɪ f aɪ t
activities	æ k t ɪ f ə t i z
activity	æ k t ɪ f ɪ t i
activity's	æ k t ɪ f ə t i z
actor	æ k t ə ɹ
actor's	æ k t ə ɹ z
actors	æ k t ə ɹ z
actyve	æ k t ɪ f
acupuncture	æ k j u p ʌ ŋ k tʃ ə ɹ
acuter	ə k j u t ə ɹ
acworth	æ k w ə ɹ t
adairsville	ə d ɛ ɹ s f ɪ l
adairville	ə d ɛ ɹ f ɪ l
adakar	ə d æ k ə ɹ
adalbert	ə d æ l b ə ɹ t
adalgoth	ə d æ l ɡ ɑ t
adamastor	æ d ə m æ s t ə ɹ
adapter	ə d æ p t ə ɹ
adaptive	ə d æ p t ɪ f
adaptiveness	ə d æ p t ɪ f n ə s
adder	æ d ə ɹ
adder's	æ d ə ɹ z
adderbury	æ d ə ɹ b ɛ ɹ i
adderley	ə d ə ɹ l i
adders	æ d ə ɹ z
adderwood	ə d ə ɹ w ʊ d
addeth	æ d ɪ t
addresser	ə d ɹ ɛ s ə ɹ
addressers	ə d ɹ ɛ s ə ɹ z
adelbert	ə d ɛ l b ə ɹ t
adeler	æ d ə l ə ɹ
adelsberg	æ d ɪ l z b ə ɹ ɡ
ademar	æ d ɪ m ə ɹ
ader	eɪ d ə ɹ
aderke	æ d ə ɹ k
adersbach	æ d ə ɹ s b ɑ k
aderspach	æ d ə ɹ s p ə k
adhelmar	ə d h ɛ l m ə ɹ
adhesive	æ d h i s ɪ f
adhesiveness	æ d h i s ɪ f n ə s
adhinnire	ə d h ɪ n aɪ ə ɹ
adiron	æ d ə ɹ ɑ n
adirondac	æ d ə ɹ ɑ n d æ k
adirondack	æ d ə ɹ ɑ n d æ k
adirondacks	æ d ə ɹ ɑ n d æ k s
adirondacs	æ d ə ɹ ɑ n d æ k s
adister	ə d ɪ s t ə ɹ
adiva	ə d i f ə
adjectival	æ dʒ ɪ k t ɪ f ə l
adjective	æ dʒ ɪ k t ɪ f
adjectives	æ dʒ ɪ k t ɪ f z
adjourn	ə dʒ ə ɹ n
adjourned	ə dʒ ə ɹ n d
adjourning	ə dʒ ə ɹ n ɪ ŋ
adjournment	ə dʒ ə ɹ n m ə n t
adjournments	ə dʒ ə ɹ n m ə n t s
adjourns	ə dʒ ə ɹ n z
adjudicators	ə dʒ u d ɪ k eɪ t ə ɹ z
adjuration	ə dʒ ə ɹ eɪ ʃ ə n
adjurations	ə dʒ ə ɹ eɪ ʃ ə n z
adjure	ə dʒ ə ɹ
adjured	ə dʒ ə ɹ d
adjures	ə dʒ ə ɹ z
adjuring	ə dʒ ə ɹ ɪ ŋ
adjuster	ə dʒ ʌ s t ə ɹ
adjusters	ə dʒ ʌ s t ə ɹ z
adjutor	ə dʒ u t ə ɹ
adjuvant	ə dʒ u f ə n t
adler	æ d l ə ɹ
adler's	æ d l ə ɹ z
adlergasse	æ d l ə ɹ ɡ ɑ s i
admeasurement	æ d m ɛ ʒ ə ɹ m ə n t
admer	æ d m ə ɹ
administer	æ d m ɪ n ɪ s t ə ɹ
administered	æ d m ɪ n ɪ s t ə ɹ d
administering	æ d m ɪ n ɪ s t ə ɹ ɪ ŋ
administers	æ d m ɪ n ɪ s t ə ɹ z
administrative	æ d m ɪ n ə s t ɹ eɪ t ɪ f
administratively	æ d m ɪ n ə s t ɹ eɪ t ɪ f l i
administrator	æ d m ɪ n ə s t ɹ eɪ t ə ɹ
administrator's	æ d m ɪ n ə s t ɹ eɪ t ə ɹ z
administrators	æ d m ɪ n ə s t ɹ eɪ t ə ɹ z
adminster	æ d m ɪ n s t ə ɹ
admir'd	æ d m ə ɹ d
admirable	æ d m ə ɹ ə b ə l
admirably	æ d m ə ɹ ə b l i
admiral	æ d m ə ɹ ə l
admiral's	æ d m ə ɹ ə l z
admirals	æ d m ə ɹ ə l z
admiralteisky	æ d m ə ɹ ə l t i s k i
admiralties	æ d m ə ɹ ə l t i z
admiralty	æ d m ə ɹ ə l t i
admiralty's	æ d m ə ɹ ə l t i z
admirari	æ d m ə ɹ ə ɹ i
admiration	æ d m ə ɹ eɪ ʃ ə n
admirations	æ d m ə ɹ eɪ ʃ ə n z
admirer	æ d m aɪ ɹ ə ɹ
admirer's	æ d m aɪ ɹ ə ɹ z
admirers	æ d m aɪ ɹ ə ɹ z
admixture	æ d m ɪ k s tʃ ə ɹ
admixtures	æ d m ɪ k s tʃ ə ɹ z
admonisher	æ d m ɑ n ɪ ʃ ə ɹ
admonitory	æ d m ɑ n ə t ə ɹ i
adoptive	ə d ɑ p t ɪ f
adorably	æ d ə ɹ ə b l i
adoration	æ d ə ɹ eɪ ʃ ə n
adorations	æ d ə ɹ eɪ ʃ ə n z
adoree	æ d ə ɹ i
adoree's	æ d ə ɹ i z
adoreon	æ d ə ɹ i ɑ n
adorer	ə d ɔ ɹ ə ɹ
adorers	ə d ɔ ɹ ə ɹ z
adorneth	ə d ɔ ɹ n ɪ t
adova	ɑ d oʊ f ə
adulator	æ dʒ ə l eɪ t ə ɹ
adulators	æ dʒ ə l eɪ t ə ɹ z
adulterate	ə d ʌ l t ə ɹ eɪ t
adulterated	ə d ʌ l t ə ɹ eɪ t ɪ d
adulterates	ə d ʌ l t ə ɹ eɪ t s
adulterating	ə d ʌ l t ə ɹ eɪ t ɪ ŋ
adulteration	ə d ʌ l t ə ɹ eɪ ʃ ə n
adulterations	ə d ʌ l t ə ɹ eɪ ʃ ə n z
adulterer	ə d ʌ l t ə ɹ ə ɹ
adulterers	ə d ʌ l t ə ɹ ə ɹ z
adulteress	ə d ʌ l t ə ɹ ɛ s
adulteresses	ə d ʌ l t ə ɹ ɛ s ɪ z
adulteries	ə d ʌ l t ə ɹ i z
adulterous	ə d ʌ l t ə ɹ ə s
adultery	ə d ʌ l t ə ɹ i
adurovich	ə d ʊ ɹ ə f ɪ tʃ
adv	æ d f
advanc'd	ə d f æ n s d
advance	ə d f æ n s
advanced	ə d f æ n s t
advancement	ə d f æ n s m ə n t
advancements	ə d f æ n s m ə n t s
advances	ə d f æ n s ɪ z
advanceth	ə d f æ n s ɪ t
advancin	ə d f æ n s ɪ n
advancing	ə d f æ n s ɪ ŋ
advantage	ə d f æ n t ɪ dʒ
advantaged	ə d f æ n ɪ dʒ d
advantageous	ə d f æ n ɪ dʒ ə s
advantageously	ə d f æ n ɪ dʒ ə s l i
advantages	ə d f æ n t ɪ dʒ ɪ z
advantageth	ə d f æ n ɪ dʒ ɪ t
advena	æ d f ɛ n ə
advent	æ d f ɛ n t
advent'rous	æ d f ɛ n ɹ ə s
adventist	æ d f ɛ n t ɪ s t
adventists	æ d f ɛ n t ɪ s t s
adventitious	æ d f ɛ n t ɪ ʃ ə s
adventure	æ d f ɛ n tʃ ə ɹ
adventure's	æ d f ɛ n tʃ ə ɹ z
adventured	æ d f ɛ n tʃ ə ɹ d
adventureless	æ d f ɛ n tʃ ə ɹ l ə s
adventurer	æ d f ɛ n tʃ ə ɹ ə ɹ
adventurer's	æ d f ɛ n tʃ ə ɹ ə ɹ z
adventurers	æ d f ɛ n tʃ ə ɹ ə ɹ z
adventures	æ d f ɛ n tʃ ə ɹ z
adventuresome	æ d f ɛ n tʃ ə ɹ s ə m
adventuress	æ d f ɛ n tʃ ə ɹ ə s
adventuresses	æ d f ɛ n tʃ ə ɹ ɛ s ɪ z
adventuring	æ d f ɛ n tʃ ə ɹ ɪ ŋ
adventurings	æ d f ɛ n tʃ ə ɹ ɪ ŋ z
adventurous	æ d f ɛ n tʃ ə ɹ ə s
adventurously	æ d f ɛ n tʃ ə ɹ ə s l i
adventurousness	æ d f ɛ n tʃ ə ɹ ə s n ə s
adventus	æ d f ɛ n tʃ ə s
adventuwer	æ d f ɛ n tʃ u ə ɹ
adver	æ d f ə ɹ
adverb	æ d f ə ɹ b
adverbial	æ d f ə ɹ b i ə l
adverbs	æ d f ə ɹ b z
adversaries	æ d f ə ɹ s ɛ ɹ i z
adversary	æ d f ə ɹ s ɛ ɹ i
adversary's	æ d f ə ɹ s ɛ ɹ i z
adverse	æ d f ə ɹ s
adversely	æ d f ə ɹ s l i
adversities	æ d f ə ɹ s ə t i z
adversity	æ d f ə ɹ s ə t i
adversity's	æ d f ə ɹ s ə t i z
adversus	æ d f ə ɹ s ə s
advert	æ d f ə ɹ t
adverted	æ d f ə ɹ t ɪ d
adverting	æ d f ə ɹ t ɪ ŋ
advertise	æ d f ə ɹ t aɪ z
advertised	æ d f ə ɹ t aɪ z d
advertisement	æ d f ə ɹ t aɪ z m ə n t
advertisements	æ d f ə ɹ t aɪ z m ə n t s
advertiser	æ d f ə ɹ t aɪ z ə ɹ
advertiser's	æ d f ə ɹ t aɪ z ə ɹ z
advertisers	æ d f ə ɹ t aɪ z ə ɹ z
advertises	æ d f ə ɹ t aɪ z ɪ z
advertisin	æ d f ə ɹ t aɪ z ɪ n
advertising	æ d f ə ɹ t aɪ z ɪ ŋ
advertize	æ d f ə ɹ t aɪ z
advertized	æ d f ə ɹ t aɪ z d
advertizing	æ d f ə ɹ t aɪ z ɪ ŋ
adverts	æ d f ə ɹ t s
advice	æ d f aɪ s
advices	æ d f aɪ s ɪ z
advienne	æ d f i ɛ n
advis'd	æ d f aɪ z d
advisability	æ d f aɪ z ə b ɪ l ɪ t i
advisable	æ d f aɪ z ə b ə l
advisableness	æ d f aɪ z ə b ə l n ə s
advise	æ d f aɪ z
adviseable	æ d f aɪ z ə b ə l
advised	æ d f aɪ z d
advisedly	æ d f aɪ z ə d l i
advisement	æ d f aɪ z m ə n t
adviser	æ d f aɪ z ə ɹ
adviser's	æ d f aɪ z ə ɹ z
advisers	æ d f aɪ z ə ɹ z
advises	æ d f aɪ z ɪ z
adviseth	æ d f aɪ z ə t
advisin	æ d f aɪ z ɪ n
advising	æ d f aɪ z ɪ ŋ
advisor	æ d f aɪ z ə ɹ
advisors	æ d f aɪ z ə ɹ z
advisory	æ d f aɪ z ə ɹ i
advocacy	æ d f ə k ə s i
advocate	æ d f ə k eɪ t
advocate's	æ d f ə k ə t s
advocated	æ d f ə k eɪ t ɪ d
advocates	æ d f ə k eɪ t s
advocating	æ d f ə k eɪ t ɪ ŋ
advocatus	æ d f ə k ə t ə s
advowson	æ d f oʊ s ə n
advowsons	æ d f aʊ s ə n z
advt	æ d f t
adzatathat	æ d z ə t æ t ə t
aeger	ɛ ɡ ə ɹ
aegisthus	i dʒ ə s t ə s
aelward	ɛ l w ə ɹ d
aequor	eɪ k w ə ɹ
aerated	ə ɹ eɪ t ɪ d
aerating	ə ɹ eɪ t ɪ ŋ
aeration	ə ɹ eɪ ʃ ə n
aeromotor	ɛ ɹ ə m oʊ t ə ɹ
aeropher	ɛ ɹ ə f ə ɹ
aerschot	ə ɹ ʃ ə t
aesthete	ɛ s t i t
aesthetes	ɛ s t i t s
aesthetic	ɛ s t ɛ t ɪ k
aesthetical	ɛ s t ɛ t ɪ k ə l
aesthetically	ɛ s t ɛ t ɪ k l i
aestheticians	ɛ s t ə t ɪ ʃ ə n z
aestheticism	ɛ s t ɛ t ɪ s ɪ z ə m
aesthetics	ɛ s t ɛ t ɪ k s
aesthetik	ɛ s t ɛ t ɪ k
aeterna	ɛ t ə ɹ n ə
aeternam	ɛ t ə ɹ n ə m
aeternitatis	ɛ t ə ɹ n ə t eɪ t ɪ s
aeternum	ɛ t ə ɹ n ə m
aeth	i t
aether	ɛ t ə ɹ
aethera	i t ə ɹ ə
aethereal	ɪ t ɪ ɹ i ə l
aethereum	ɛ t ə ɹ i ə m
aetherial	ɪ t ɪ ɹ i ə l
aethiop	i t i oʊ p
aethiopia	i t i oʊ p i ə
aethra	i t ɹ ə
aev	ɛ f
aevius	eɪ f i ɪ s
afear'd	æ f ə ɹ d
afeard	æ f ə ɹ d
afer	ə f ə ɹ
affective	ə f ɛ k t ɪ f
affectivity	æ f ɛ k t ɪ f ɪ t i
affer	æ f ə ɹ
affery	æ f ə ɹ i
affidavit	æ f ə d eɪ f ə t
affidavits	æ f ɪ d eɪ f ɪ t s
affidavy	æ f ɪ d eɪ f i
affirm	ə f ə ɹ m
affirm'd	ə f ə ɹ m d
affirmance	ə f ə ɹ m ə n s
affirmation	æ f ə ɹ m eɪ ʃ ə n
affirmations	æ f ə ɹ m eɪ ʃ ə n z
affirmative	ə f ə ɹ m ə t ɪ f
affirmatively	ə f ə ɹ m ə t ɪ f l i
affirmatives	ə f ə ɹ m ə t ɪ f z
affirmatory	ə f ə ɹ m ə t ɔ ɹ i
affirmed	ə f ə ɹ m d
affirmeth	ə f ə ɹ m ɪ t
affirming	ə f ə ɹ m ɪ ŋ
affirms	ə f ə ɹ m z
afflictive	ə f l ɪ k t ɪ f
affordeth	ə f ɔ ɹ d ɪ t
affreux	ə f ə ɹ oʊ
aflower	ə f l aʊ ə ɹ
aflutter	ə f l ʌ t ə ɹ
aforethought	ə f ɔ ɹ t ɑ t
africander	æ f ɹ ə k ə n d ə ɹ
africanders	æ f ɹ ə k ə n d ə ɹ z
africaner	æ f ɹ ə k eɪ n ə ɹ
afrikander	æ f ɹ ə k ɑ n d ə ɹ
afrikanders	æ f ɹ ə k ɑ n d ə ɹ z
after	æ f t ə ɹ
afterall	æ f t ə ɹ ɑ l
afterbirth	æ f t ə ɹ b ə ɹ t
afterdeck	æ f t ə ɹ d ɛ k
aftereffects	æ f t ə ɹ ə f ɛ k t s
afterglow	æ f t ə ɹ ɡ l oʊ
afterguard	æ f t ə ɹ ɡ ɑ ɹ d
afterhold	æ f t ə ɹ h oʊ l d
afterism	æ f t ə ɹ ɪ z ə m
afterlife	æ f t ə ɹ l aɪ f
aftermath	æ f t ə ɹ m æ t
aftermaths	æ f t ə ɹ m æ t s
aftermost	æ f t ə ɹ m oʊ s t
afternoon	æ f t ə ɹ n u n
afternoon's	æ f t ə ɹ n u n z
afternoons	æ f t ə ɹ n u n z
afterpart	æ f t ə ɹ p ɑ ɹ t
afterpiece	æ f t ə ɹ p i s
afters	æ f t ə ɹ z
aftershocks	æ f t ə ɹ ʃ ɑ k s
aftertaste	æ f t ə ɹ t eɪ s t
afterthought	æ f t ə ɹ t ɔ t
afterthoughts	æ f t ə ɹ t ɔ t s
aftertime	æ f t ə ɹ t aɪ m
aftertimes	æ f t ə ɹ t aɪ m z
afterward	æ f t ə ɹ w ə ɹ d
afterwards	æ f t ə ɹ w ə ɹ d z
afterwhile	æ f t ə ɹ w aɪ l
afterword	æ f t ə ɹ w ə ɹ d
afthen	ə f t ə n
afther	ə f t ə ɹ
afthernoon	ə f t ə ɹ n u n
aftherwards	ə f t ə ɹ w ə ɹ d z
agadir	æ ɡ ə d ə ɹ
agamalov	æ ɡ ə m ɑ l ɑ f
agar	æ ɡ ə ɹ
agatha	æ ɡ ə t ə
agatha's	æ ɡ ə t ə z
agatharchus	æ ɡ ə t ɑ ɹ tʃ ə s
agathas	æ ɡ ə t ə z
agathe	æ ɡ ə t
agathe's	æ ɡ ə t i z
agathemer	æ ɡ ə t i m ə ɹ
agathemer's	æ ɡ ə t i m ə ɹ z
agatho	æ ɡ ə t oʊ
agathocles	æ ɡ ə t ə k l i z
agathon	æ ɡ ə t ə n
agathon's	æ ɡ ə t ə n z
agathos	æ ɡ ə t ɑ s
agathya	æ ɡ æ t j ə
agave	ə ɡ eɪ f
agaves	ə ɡ eɪ f z
agendath	ə dʒ ɛ n d ə t
agenor	ə dʒ ɛ n ə ɹ
agenor's	ə dʒ ɛ n ə ɹ z
ager	eɪ dʒ ə ɹ
agere	eɪ dʒ ə ɹ
agers	eɪ dʒ ə ɹ z
ageth	eɪ dʒ ɪ t
aggeivitch	ə ɡ i ɪ f ɪ tʃ
agger	æ ɡ ə ɹ
aggerawayter	æ ɡ ə ɹ ɑ w eɪ t ə ɹ
agglomerate	ə ɡ l ɑ m ə ɹ eɪ t
agglomerated	ə ɡ l ɑ m ə ɹ eɪ t ɪ d
agglomeration	ə ɡ l ɑ m ə ɹ eɪ ʃ ə n
agglomerations	ə ɡ l ɑ m ə ɹ eɪ ʃ ə n z
agglutinative	ə ɡ l u t ɪ n eɪ t ɪ f
aggravate	æ ɡ ɹ ə f eɪ t
aggravated	æ ɡ ɹ ə f eɪ t ɪ d
aggravates	æ ɡ ɹ ə f eɪ t s
aggravatin	æ ɡ ɹ ə f eɪ t ɪ n
aggravating	æ ɡ ɹ ə f eɪ t ɪ ŋ
aggravatingly	æ ɡ ɹ ə f eɪ t ɪ ŋ l i
aggravation	æ ɡ ɹ ə f eɪ ʃ ə n
aggravations	æ ɡ ɹ ə f eɪ ʃ ə n z
aggressive	ə ɡ ɹ ɛ s ɪ f
aggressively	ə ɡ ɹ ɛ s ɪ f l i
aggressiveness	ə ɡ ɹ ɛ s ɪ f n ə s
aggressor	ə ɡ ɹ ɛ s ə ɹ
aggressor's	ə ɡ ɹ ɛ s ə ɹ z
aggressors	ə ɡ ɹ ɛ s ə ɹ z
aggrieve	ə ɡ ɹ i f
aggrieved	ə ɡ ɹ i f d
aggrievedly	ə ɡ ɹ i f d l i
aggrievement	ə ɡ ɹ i f m ə n t
agilbert	ə ɡ ɪ l b ə ɹ t
agitator	æ dʒ ə t eɪ t ə ɹ
agitator's	æ dʒ ə t eɪ t ə ɹ z
agitators	æ dʒ ə t eɪ t ə ɹ z
agitha	ə dʒ ɪ t ə
