1/2	h ˈɑ f
act	ˈæ k t
acted	ˈæ k t ɪ d
acting	ˈæ k t ɪ ŋ
action	ˈæ k ʃ ə n
actions	ˈæ k ʃ ə n z
activate	ˈæ k t ɪ v ˌe ɪ t
activation	ˌæ k t ɪ v ˈe ɪ ʃ ə n
active	ˈæ k t ɪ v
activity	æ k t ˈɪ v ɪ t i
acts	ˈæ k t s
actual	ˈæ k t͡ʃ u ə l
actually	ˈæ k t͡ʃ u ə l l i
ada	ˈe ɪ d ə
ada's	ˈe ɪ d ə z
adas	ˈe ɪ d ə z
add	ˈæ d
added	ˈæ d d ɪ d
addict	ˈæ d d ˌɪ k t
addict	ə d d ˈɪ k t
addicts	ə d d ˈɪ k t s
addicts	ˈæ d d ˌɪ k t s
adding	ˈæ d ɪ ŋ
addition	ˌɑ d i ʃ ə n
additionally	ə d ɪ ʃ ə n l i
address	ˈæ d d ɹ ˌɛ s
adds	ˈæ d z
adjust	ə d͡ʒ ˈʌ s t
adjusted	ə d͡ʒ ˈʌ s t ɪ d
admired	ə d m ˈa ɪ ɚ d
admit	ə d m ˈɪ t
admits	ə d m ˈɪ t s
admittance	ə d m ˈɪ t t ə n s
admitted	æ d m ˈɪ t ɪ d
adobe	ə d ˈo ʊ b i
adorable	ə d ˈɔ ɹ ə b ə l
adult	ə d ˈʌ l t
adults	ə d ˈʌ l t s
advance	ə d v ˈæ n s
adventure	æ d v ˈɛ n t͡ʃ ɚ
adventures	æ d v ˈɛ n t͡ʃ ɚ z
adventurous	æ d v ˈɛ n t͡ʃ ɚ ɹ ə s
advice	æ d v ˈa ɪ s
advise	æ d v ˈa ɪ z
advocate	ˈæ d v ə k ˌe ɪ t
advocate	ˈæ d v ə k ɪ t
advocates	ˈæ d v ə k ˌe ɪ t s
advocates	ˈæ d v ə k ɪ t s
aeon	ˈi ˌo ʊ n
afar	ə f ˈɑ ɹ
affect	ˈæ f f ɛ k t
affect	ə f ˈɛ k t
affected	ə f ˈɛ k t ɪ d
affection	ə f ˈɛ k ʃ ə n
affects	ə f ˈɛ k t s
affinity	ə f ˈɪ n ɪ t i
affix	ˈæ f f ɪ k s
affix	ə f f ˈɪ k s
affixes	ˈæ f f ɪ k s ɪ z
affixes	ə f f ˈɪ k s ɪ z
afford	ə f ˈɔ ɹ d
afforded	ə f ˈɔ ɹ d ɪ d
afoot	ə f ˈʊ t
afraid	ə f ɹ ˈe ɪ d
africa	ˈæ f ɹ ɪ k ə
african	ˈæ f ɹ ɪ k ə n
after	ˈæ f t ɚ
afterglow	ˈæ f t ɚ ɡ l o ʊ
afternoon	ˌæ f t ɚ n ˈu n
afternoons	ˌæ f t ɚ n ˈu n z
aftertaste	ˈæ f t ɚ t ˌe ɪ s t
afterthought	ˈæ f t ɚ θ ˌɔ t
again	ə ɡ ˈɛ n
against	ə ɡ ˈɛ n s t
agar	ˈe ɪ ɡ ɚ
age	ˈe ɪ d͡ʒ
aged	ˈe ɪ d͡ʒ d
ages	ˈe ɪ d͡ʒ ɪ z
agglomerate	ə ɡ ɡ l ˈɑ m ɚ ɪ t
agglomerate	ə ɡ ɡ l ˈɑ m ɚ ˌe ɪ t
aggregate	ˈæ ɡ ɡ ɹ ə ɡ ˌe ɪ t
aggregate	ˈæ ɡ ɡ ɹ ə ɡ ɪ t
aggregates	ˈæ ɡ ɡ ɹ ə ɡ ɪ t s
aggregates	ˈæ ɡ ɡ ɹ ə ɡ ˌe ɪ t s
aggressive	ə ɡ ɹ ˈɛ s ɪ v
agile	ˈæ d͡ʒ a ɪ l
agitated	ˌæ d͡ʒ ˈɪ t ˈe ɪ t ə d
ago	ə ɡ ˈo ʊ
agree	ə ɡ ɹ ˈi
agreed	ə ɡ ɹ ˈi d
agreement	ə ɡ ɹ ˈi m ə n t
agreements	ə ɡ ɹ ˈi m ə n t s
agrees	ə ɡ ɹ ˈi z
ah	ˈɑ
aha	ˌɑ h ˈɑ
ahead	ə h ˈɛ d
aid	ˈe ɪ d
aidan	ˈe ɪ d ə n
aim	ˈe ɪ m
aimed	ˈe ɪ m d
aimless	ˈe ɪ m l ə s
aims	ˈe ɪ m z
air	ˈɛ ɹ
airplane	ˈɛ ɹ p l ˌe ɪ n
airplanes	ˈɛ ɹ p l e ɪ n z
airport	ˈɛ ɹ p ˌɔ ɹ t
aisle	ˈa ɪ l
aisles	ˈa ɪ l z
alarm	ə l ˈɑ ɹ m
alas	ə l ˈæ s
albeit	ɔ l b ˈi ɪ t
alert	ə l ˈɚ t
alex	ˈæ l ɪ k s
alex's	ˈæ l ɪ k s ɪ z
alexs	æ l ɛ k s ə z
algae	ˈæ l d͡ʒ i
alice	ˈæ l ɪ s
alice's	ˈæ l ɪ s ɪ z
alien	ˈe ɪ l i ə n
alighted	ˈæ l ˈa ɪ t ɪ d
align	ə l ˈa ɪ n
aligning	ə l ˈa ɪ n ɪ ŋ
alike	ə l ˈa ɪ k
alive	ə l ˈa ɪ v
all	ˈɔ l
allergic	ə l ˈɚ d͡ʒ ɪ k
alley	ˈæ l i
allie	ˈæ l l ˈi
allie's	ˈæ l l ˈi z
allies	ˈæ l a ɪ z
allies	ˈæ l l a ɪ z
allies	ə l l ˈa ɪ z
alligator	ˈæ l ə ɡ ˌe ɪ t ɚ
allow	ə l ˈa ʊ
allowance	ə l ˈa ʊ ə n s
allowed	ə l ˈa ʊ d
allowing	ə l a ʊ ɪ ŋ
allows	ə l ˈa ʊ z
ally	ˈæ l l a ɪ
ally	ə l l ˈa ɪ
almighty	ɔ l m ˈa ɪ t i
almost	ˈɔ l m ˌo ʊ s t
alone	ə l ˈo ʊ n
along	ə l ˈɔ ŋ
alongside	ə l ˈɔ ŋ s ˈa ɪ d
aloud	ə l ˈa ʊ d
already	ɔ l ɹ ˈɛ d i
alright	ˌɔ l ɹ ˈa ɪ t
also	ˈɔ l s o ʊ
alternate	ˈɔ l t ɚ n ˌe ɪ t
alternate	ˈɔ l t ɚ n ɪ t
although	ɔ l ð ˈo ʊ
altogether	ˌɔ l t ə ɡ ɛ ð ə ɹ
always	ˈɔ l w ˌe ɪ z
am	ˈæ m
amazed	ə m ˈe ɪ z d
amazement	ə m ˈe ɪ z m ə n t
amazing	ə m ˈe ɪ z ɪ ŋ
amazingly	ə m ˈe ɪ z ɪ ŋ l i
ambition	æ m b ˈɪ ʃ ə n
amble	ˈæ m b ə l
ambles	ˈæ m b ə l z
ambling	ˈæ m b ə l ɪ ŋ
ambulance	ˈæ m b j ə l ə n s
america	ə m ˈɛ ɹ ɪ k ə
american	ə m ˈɛ ɹ ɪ k ə n
amethyst	ˈæ m ɪ θ ɪ s t
among	ə m ˈʌ ŋ
amount	ə m ˈa ʊ n t
amounts	ə m ˈa ʊ n t s
ample	ˈæ m p ə l
amur	ˈɑ m ˈu ɹ
amuse	ə m j ˈu z
amused	ə m j ˈu z d
an	ə n
anaconda	ˌæ n ə k ˈɑ n d ə
anacondas	ˈæ n ə k ə n d ə z
analyses	æ n ˈæ l ɪ s ˌi z
analyses	ˈæ n ə l a ɪ z ɪ z
ancestor	ˈæ n s ˌɛ s t ɚ
ancient	ˈe ɪ n ʃ ə n t
and	ˈæ n d
andy	ˈæ n d i
anemone	ə n ˈɛ m ə n i
anger	ˈæ ŋ ɡ ɚ
angers	ˈæ ŋ ɡ ɚ z
angle	ˈæ ŋ ɡ ə l
angles	ˈæ ŋ ɡ ə l z
angrily	ˈæ ŋ ɡ ɹ ə l i
angry	ˈæ ŋ ɡ ɹ i
anika	ˈæ n ˈi k ə
animal	ˈæ n ə m ə l
animals	ˈæ n ə m ə l z
animate	ˈæ n ə m ˌe ɪ t
animate	ˈæ n ə m ɪ t
animated	æ n ɪ m e ɪ t ɪ d
annie	ˈæ n n i
announcement	ə n ˈa ʊ n s m ə n t
annoy	ə n ˈɔ ɪ
annoyed	ə n n ˈɔ ɪ d
annoying	ə n ˈɔ ɪ ɪ ŋ
annual	ˈæ n j u ə l
annuals	ˈæ n n u ə l z
another	ə n ˈʌ ð ɚ
answer	ˈæ n s ɚ
answered	ˈæ n s ɚ d
answering	ˈæ n s ɚ ɹ ɪ ŋ
answers	ˈæ n s ɚ z
ant	ˈæ n t
ants	ˈæ n t s
anvil	ˈæ n v ə l
anxiety	æ ŋ z ˈa ɪ ə t i
anxious	ˈæ ŋ k ʃ ə s
anxiously	ˈæ ŋ k ʃ ə s l i
any	ˈɛ n i
anybody	ˈɛ n i b ə d i
anyhow	ˈɛ n i h ˌa ʊ
anymore	ˌɛ n i m ˈɔ ɹ
anyone	ˈɛ n i w ˌʌ n
anything	ˈɛ n i θ ˌɪ ŋ
anytime	ˈɛ n i t ˌa ɪ m
anyway	ˈɛ n i w ˌe ɪ
anyways	ˈɛ n i w ˌe ɪ z
anywhere	ˈɛ n i w ˌɛ ɹ
anywheres	ˈɛ n i w ˌɛ ɹ z
apam	ə p ə m
apart	ə p ˈɑ ɹ t
apartment	ə p ˈɑ ɹ t m ə n t
apartments	ə p ˈɑ ɹ t m ə n t s
ape	ˈe ɪ p
apes	ˈe ɪ p s
apex	ˈe ɪ p ˌɛ k s
apologise	ə p ˈɑ l ə d͡ʒ ˌa ɪ z
apologises	ə p ˈɑ l ə d͡ʒ ˌa ɪ z ɪ z
apologize	ə p ˈɑ l ə d͡ʒ ˌa ɪ z
apologizes	ə p ˈɑ l ə d͡ʒ ˌa ɪ z ə z
apology	ə p ˈɑ l ə d͡ʒ i
apophis	ə p ˈɑ f ɪ z
app	ˈæ p
apparently	ə p ˈɛ ɹ ə n t l i
appear	ə p ˈɪ ɹ
appearance	ə p ˈɪ ɹ ə n s
appeared	ə p ˈɪ ɹ d
appears	ə p ˈɪ ɹ z
appetite	ˈæ p ɪ t ˌa ɪ t
apple	ˈæ p ə l
apples	ˈæ p ə l z
applied	ə p l ˈa ɪ d
approach	ə p ɹ ˈo ʊ t͡ʃ
approached	ə p ɹ ˈo ʊ t͡ʃ t
approaches	ə p ɹ ˈo ʊ t͡ʃ ɪ z
approaching	ə p ɹ ˈo ʊ t͡ʃ ɪ ŋ
appropriate	ə p p ɹ ˈo ʊ p ɹ i ɪ t
appropriate	ə p p ɹ ˈo ʊ p ɹ i ˌe ɪ t
approval	ə p ɹ ˈu v ə l
approximate	ə p p ɹ ˈɑ k s ə m ɪ t
approximate	ə p p ɹ ˈɑ k s ə m ˌe ɪ t
apps	ˈæ p s
april	ˈe ɪ p ɹ ə l
apron	ˈe ɪ p ɹ ə n
aqua	ˈæ k w ʌ
arabian	ˈɑ ɹ ˈe ɪ b ˈi ə n
arch	ˈɑ ɹ t͡ʃ
arches	ˈɑ ɹ t͡ʃ ɪ z
archie	ˈɑ ɹ t͡ʃ i
arctic	ˈɑ ɹ k t ɪ k
are	ˈɑ ɹ
area	ˈɛ ɹ i ə
areas	ˈɛ ɹ i ə z
aren't	ˈɑ ɹ n t
arent	ˈɑ ɹ ə n t
argue	ˈɑ ɹ ɡ j u
argument	ˈɑ ɹ ɡ j ə m ə n t
arguments	ˈɑ ɹ ɡ j ə m ə n t s
argus	ˈɑ ɹ ɡ ə s
arm	ˈɑ ɹ m
armchair	ˈɑ ɹ m t͡ʃ ˌɛ ɹ
armed	ˈɑ ɹ m d
armor	ˈɑ ɹ m ɚ
armour	ˈɑ ɹ m ɚ
armourer	ˈɑ ɹ m ə ɹ ɚ
arms	ˈɑ ɹ m z
army	ˈɑ ɹ m i
around	ɚ ɹ ˈa ʊ n d
arrange	ɚ ɹ ˈe ɪ n d͡ʒ
arrive	ɚ ɹ ˈa ɪ v
arrived	ɚ ɹ ˈa ɪ v d
arrives	ɚ ɹ ˈa ɪ v z
arriving	ʌ ɹ ˌa ɪ v ˈi ŋ
arrow	ˈɛ ɹ o ʊ
arrows	ˈɛ ɹ o ʊ z
art	ˈɑ ɹ t
artefacts	ˈɑ ɹ t ə f ˌæ k t s
articulate	ɑ ɹ t ˈɪ k j ə l ɪ t
articulate	ɑ ɹ t ˈɪ k j ə l ˌe ɪ t
artifact	ˈɑ ɹ t ə f ˌæ k t
artifacts	ˈɑ ɹ t ə f ˌæ k t s
artificial	ˌɑ ɹ t ə f ˈɪ ʃ ə l
artist	ˈɑ ɹ t ɪ s t
artists	ˈɑ ɹ t ɪ s t s
arts	ˈɑ ɹ t s
artwork	ˈɑ ɹ t w ˌɚ k
as	ˈæ z
ascended	ə s ˈɛ n d ɪ d
ash	ˈæ ʃ
ashamed	ə ʃ ˈe ɪ m d
ashes	ˌæ ʃ ə z
asia	ˈe ɪ ʒ ə
asian	ˈe ɪ ʒ ə n
aside	ə s ˈa ɪ d
ask	ˈæ s k
asked	ˈæ s k t
asking	ˈæ s k ɪ ŋ
asks	ˈæ s k s
asleep	ə s l ˈi p
aspirate	ˈæ s p ɚ ɹ ˌe ɪ t
aspirate	ˈæ s p ɚ ɹ ɪ t
aspirates	ˈæ s p ɚ ɹ ɪ t s
aspirates	ˈæ s p ɚ ɹ ˌe ɪ t s
assembled	ə s ˈɛ m b ə l d
assembly	ə s ˈɛ m b l i
assign	ə s ˈa ɪ n
assigned	ə s ˈa ɪ n d
assignment	ə s ˈa ɪ n m ə n t
assistant	ə s ˈɪ s t ə n t
associate	ə s s ˈo ʊ ʃ i ˌe ɪ t
associate	ə s s ˈo ʊ ʃ i ɪ t
associates	ə s s ˈo ʊ ʃ i ɪ t s
associates	ə s s ˈo ʊ ʃ i ˌe ɪ t s
association	ə s ˌo ʊ ʃ i ˈe ɪ ʃ ə n
assured	ə ʃ ˈʊ ɹ d
asteroid	ˈæ s t ɚ ɹ ˌɔ ɪ d
asteroids	ˈæ s t ɚ ɹ ˌɔ ɪ d z
astonishing	ə s t ˈɑ n ɪ ʃ ɪ ŋ
astonishment	ə s t ˈɑ n ɪ ʃ m ə n t
astounded	ə s t ˈa ʊ n d d ɪ d
at	ˈæ t
ate	ˈe ɪ t
atop	ə t ˈɑ p
attached	ə t ˈæ t͡ʃ t
attack	ə t ˈæ k
attacked	ə t ˈæ k t
attacker	ə t ˈæ k ɚ
attackers	ə t ˈæ k ɚ z
attacking	ə t ˈæ k ɪ ŋ
attacks	ə t ˈæ k s
attempt	ə t ˈɛ m p t
attempts	ə t ˈɛ m p t s
attend	ə t ˈɛ n d
attendant	ə t ˈɛ n d ə n t
attention	ə t ˈɛ n ʃ ə n
attic	ˈæ t ɪ k
attract	ə t ɹ ˈæ k t
attraction	ə t ɹ ˈæ k ʃ ə n
attractions	ə t ɹ ˈæ k ʃ ə n z
attribute	ˈæ t t ɹ ɪ b j ˌu t
attribute	ə t t ɹ ˈɪ b j ˌu t
attributes	ə t t ɹ ˈɪ b j ˌu t s
attributes	ˈæ t t ɹ ɪ b j ˌu t s
audible	ˈɔ d ɪ b ə l
audibly	ˈɔ d ɪ b l i
audience	ˈɔ d i ə n s
auditorium	ˌɔ d ə t ˈɔ ɹ i ə m
august	ˈɔ ɡ ə s t
aunt	ˈæ n t
aunts	ˈæ n t s
australian	ɔ s t ɹ ˈe ɪ l j ə n
auto	ˈɔ t o ʊ
autobiography	ˌɔ t o ʊ b a ɪ ˈɑ ɡ ɹ ə f i
autoclave	ˈɔ t o ʊ k l ˌe ɪ v
automatic	ˌɔ t o ʊ m ˈæ t ɪ k
automatically	ˌɔ t o ʊ m ˈæ t ɪ k l i
autumn	ˈɔ t ə m
avail	ə v ˈe ɪ l
available	ə v ˈe ɪ l ə b ə l
avalanche	ˈæ v ə l ˌæ n t͡ʃ
average	ˈæ v ɚ ɪ d͡ʒ
avoid	ə v ˈɔ ɪ d
avoided	ʌ v ˈɔ ɪ d ə d
avoids	ə v ˈɔ ɪ d z
aw	ˈɔ
awake	ə w ˈe ɪ k
award	ə w ˈɔ ɹ d
awards	ə w ˈɔ ɹ d z
aware	ə w ˈɛ ɹ
awareness	ə w ˈɛ ɹ n ə s
away	ə w ˈe ɪ
awe	ˈɔ
awesome	ˈɔ s ə m
awful	ˈɔ f ə l
awkward	ˈa ʊ k w ɚ d
awkwardly	ˈɔ k w ɚ d l i
awning	ˈɔ n ɪ ŋ
awoke	ə w ˈo ʊ k
aww	ˈɔ
ax	ˈæ k s
axe	ˈæ k s
axes	ˈæ k s ɪ z
axolotl	ˈæ k s ə l ɔ t ə l
axolotls	ˈæ k s ə l ɔ t ə l s
ayy	ˈe ɪ
b	b ˈi
babies	b ˈe ɪ b i z
baby	b ˈe ɪ b i
back	b ˌæ k
backed	b ˈæ k t
backfired	b ˈæ k f ˌa ɪ ɚ d
backfires	b ˈæ k f ˌa ɪ ɚ z
background	b ˈæ k ɡ ɹ ˌa ʊ n d
backgrounds	b ˈæ k ɡ ɹ ˌa ʊ n d z
backing	b ˈæ k ɪ ŋ
backlash	b ˈæ k l ˌæ ʃ
backpack	b ˈæ k p ˌæ k
backpacks	b ˈæ k p ˌæ k s
backs	b ˈæ k s
backward	b ˈæ k w ɚ d
backwards	b ˈæ k w ɚ d z
backyard	b ˈæ k j ˌɑ ɹ d
bacteria	b æ k t ˈɪ ɹ i ə
bad	b ˈæ d
badly	b ˈæ d l i
baffled	b ˈæ f ə l d
bag	b ˈæ ɡ
bags	b ˈæ ɡ z
bahasa	b ˈɑ h ˈɑ s ˈɑ
bait	b ˈe ɪ t
bake	b ˈe ɪ k
baked	b ˈe ɪ k t
baker	b ˈe ɪ k ɚ
baker's	b e ɪ k ə z
bakery	b ˈe ɪ k ɚ ɹ i
bakes	b ˈe ɪ k s
baking	b ˈe ɪ k ɪ ŋ
balance	b ˈæ l ə n s
balanced	b ˈæ l ə n s t
bale	b ˈe ɪ l
bales	b ˈe ɪ l z
bali	b ˈɑ l ˈi
ball	b ˈɔ l
ballerina	b ˌæ l l ɚ ɹ ˈi n ə
ballerinas	b ˌæ l l ɚ ɹ ˈi n ə z
ballet	b æ l ˈe ɪ
ballets	b æ l ˈe ɪ z
balloon	b ə l ˈu n
balloons	b ə l ˈu n z
balls	b ˈɔ l z
bam	b ˈæ m
bamboo	b æ m b ˈu
banana	b ə n ˈæ n ə
bananas	b ə n ˈæ n ə z
band	b ˈæ n d
bandit	b ˈæ n d ə t
bands	b ˈæ n d z
bang	b ˈæ ŋ
bangs	b ˈæ ŋ z
bank	b ˈæ ŋ k
banks	b ˈæ ŋ k s
banned	b ˈæ n d
banners	b ˌæ n ə z
bant	b ˈæ n t
bar	b ˈɑ ɹ
barbara	b ˈɑ ɹ b ɚ ɹ ə
bare	b ˈɛ ɹ
barely	b ˈɛ ɹ l i
barged	b ˈɑ ɹ d͡ʒ d
bark	b ˈɑ ɹ k
barked	b ˈɑ ɹ k t
barking	b ˈɑ ɹ k ɪ ŋ
barks	b ˈɑ ɹ k s
barky	b ɑ k ˌi
barn	b ˈɑ ɹ n
barrel	b ˈɛ ɹ ə l
barrelling	b ˈɛ ɹ ˈɛ l ɪ ŋ
bars	b ˈɑ ɹ z
basalt	b æ s ˈɔ l t
base	b ˈe ɪ s
based	b ˈe ɪ s d t
basement	b ˈe ɪ s m ə n t
bases	b ˈe ɪ s ɪ z
bash	b ˈæ ʃ
basic	b e ɪ s ɪ k
basics	b ˈe ɪ s ɪ k s
basil	b ˈæ z ə l
basis	b ˈe ɪ s ɪ s
basket	b ˈæ s k ə t
baskets	b ˈæ s k ə t s
bat	b ˈæ t
bat-earred	b ˈæ t ˈɪ ɹ d
batch	b ˈæ t͡ʃ
bath	b ˈæ θ
bathe	b ˈe ɪ ð
bathing	b ˈe ɪ ð ɪ ŋ
baths	b ˈæ θ s
bathtub	b ˈæ θ t ə b
baton	b ˈæ t ə n
bats	b ˈæ t s
batter	b ˈæ t ɚ
batteries	b ˈæ t ˈɚ ˈi z
battery	b ˈæ t ɚ i
battle	b ˈæ t ə l
battled	b ˈæ t ə l d
bauble	b ˈɔ b ə l
baubles	b ˈɔ b ə l z
bawls	b ˈɔ l z
bay	b ˈe ɪ
be	b ˈi
beach	b ˈi t͡ʃ
beaches	b ˈi t͡ʃ ɪ z
bead	b ˈi d
beads	b ˈi d z
beak	b ˈi k
beaks	b ˈi k s
beamed	b ˈi m d
beaming	b ˈi m ɪ ŋ
bean	b ˈi n
beans	b ˈi n z
bear	b ˈɛ ɹ
beard	b ˈi ɹ d
bears	b ˈɛ ɹ z
beast	b ˈi s t
beast's	b ˈi s t s
beasts	b ˈi s t s
beat	b ˈi t
beaten	b ˈi t ə n
beating	b ˈi t ɪ ŋ
beats	b ˈi t s
beautiful	b j ˈu t ɪ f ə l
beauty	b j ˈu t i
became	b ɪ k ˈe ɪ m
because	b ɪ k ˈʌ z
beckon	b ˈɛ k ə n
beckoned	b ɛ k ə n d
become	b ɪ k ˈʌ m
becomes	b ɪ k ˈʌ m z
bed	b ˈɛ d
bedrock	b ˈɛ d ɹ ˈɑ k
bedroom	b ˈɛ d ɹ ˌu m
bedrooms	b ˈɛ d ɹ ˌu m z
beds	b ˈɛ d z
bedside	b ˈɛ d s ˌa ɪ d
bedtime	b ˈɛ d t ˌa ɪ m
bee	b ˈi
bee's	b ˈi z
beef	b ˈi f
beehive	b ˈi h ˌa ɪ v
been	b ˈɪ n
beeps	b ˈi p s
bees	b ˈi z
beetle	b ˈi t ə l
beetles	b ˈi t ə l z
beetroot	b ˈi t ɹ ˈu t
before	b ɪ f ˈɔ ɹ
beg	b ˈɛ ɡ
began	b ɪ ɡ æ n
begged	b ˈɛ ɡ d
begging	b ˈɛ ɡ ɪ ŋ
begin	b ɪ ɡ ˈɪ n
beginning	b ɪ ɡ ˈɪ n ɪ ŋ
begins	b ɪ ɡ ˈɪ n z
begun	b ɪ ɡ ˈʌ n
behave	b ɪ h ˈe ɪ v
behavior	b ɪ h ˈe ɪ v j ɚ
behaviors	b ɪ h ˈe ɪ v j ɚ z
behaviour	b ɪ h ˈe ɪ v j ɚ
behaviours	b ɪ h ˈe ɪ v j ɚ z
behind	b ɪ h ˈa ɪ n d
behold	b ɪ h ˈo ʊ l d
being	b ˈi ɪ ŋ
beings	b ˈɪ ˈɪ ŋ z
believe	b ɪ l ˈi v
believed	b ə l ˌi v d
bell	b ˈɛ l
bell-shaped	b ˈɛ l ʃ ˈe ɪ p t
bella	b ˈɛ l l ə
bella's	b ˈɛ l l ə z
bellies	b ˈɛ l i z
bellow	b ˈɛ l o ʊ
bellows	b ˈɛ l o ʊ z
bells	b ˈɛ l z
belly	b ˈɛ l i
bellyit	b ˈɛ l i ɪ t
belong	b ɪ l ˈɔ ŋ
belonging	b ɪ l ˈɔ ŋ ɪ ŋ
belongings	b ɪ l ˈɔ ŋ ɪ ŋ z
belongs	b ɪ l ˈɔ ŋ z
beloved	b ɪ l ˈʌ v ɪ d
below	b ɪ l ˈo ʊ
belt	b ˈɛ l t
belting	b ˈɛ l t ɪ ŋ
ben	b ˈɛ n
ben's	b ˈɛ n z
bench	b ˈɛ n t͡ʃ
bend	b ˈɛ n d
bending	b ˈɛ n d ɪ ŋ
bends	b ˈɛ n d z
beneath	b ɪ n ˈi θ
bengal	b ɛ n ɡ ɔ l
benny	b ˈɛ n i
bennys	b ˈɛ n i z
bent	b ˈɛ n t
benthik	b ˈɛ n θ ɪ k
berate	b ɪ ɹ ˈe ɪ t
berates	b ɚ ɹ ˌe ɪ t s
berries	b ˈɛ ɹ i z
berry	b ˈɛ ɹ i
berth	b ˈɚ θ
beside	b ɪ s ˈa ɪ d
besides	b ɪ s ˈa ɪ d z
best	b ˈɛ s t
best-known	b ˈɛ s t n ˈo ʊ n
best-looking	b ˈɛ s t l ˈʊ k ɪ ŋ
bested	b ɛ s t ɛ d
bet	b ˈɛ t
beth	b ˈɛ θ
beth's	b ˈɛ θ s
bets	b ˈɛ t s
better	b ˈɛ t ɚ
betters	b ˈɛ t t ɚ z
between	b ɪ t w ˈi n
beyond	b ɪ j ˈɔ n d
biased	b ˈa ɪ ə s t
biassed	b ˈa ɪ ə s t
bib	b ˈɪ b
bicker	b ˈɪ k ʌ
bicycle	b ˈa ɪ s ɪ k ə l
bid	b ˈɪ d
big	b ˈɪ ɡ
bigger	b ˈɪ ɡ ɚ
biggest	b ˈɪ ɡ ɪ s t
bike	b ˈa ɪ k
bikes	b ˈa ɪ k s
bill	b ˈɪ l
billy	b ˈɪ l l i
bin	b ˈɪ n
bind	b ˈa ɪ n d
binds	b ˈa ɪ n d z
bins	b ˈɪ n z
biographies	b a ɪ ˈɑ ɡ ɹ ə f i z
biography	b a ɪ ˈɑ ɡ ɹ ə f i
biologist	b a ɪ ˈɑ l ə d͡ʒ ɪ s t
biologists	b a ɪ ˈɑ l ə d͡ʒ ɪ s t s
biology	b a ɪ ˈɑ l ə d͡ʒ i
biome	b ˈa ɪ ˌo ʊ m
biomes	b a ɪ o ʊ m z
biosphere	b ˈa ɪ o ʊ s f ˌɪ ɹ
birch	b ˈɚ t͡ʃ
bird	b ˈɚ d
bird's	b ˈɚ d z
birds	b ˈɚ d z
birth	b ˈɚ θ
birthdate	b ˈɚ θ d ˌe ɪ t
birthday	b ˈɚ θ d ˌe ɪ
birthdays	b ˈɚ θ d ˌe ɪ z
biscuit	b ˈɪ s k ə t
biscuits	b ˈɪ s k ə t s
bit	b ˈɪ t
bite	b ˈa ɪ t
biter	b ˈa ɪ t ɚ
bites	b ˈa ɪ t s
biting	b ˈa ɪ t ɪ ŋ
bits	b ˈɪ t s
